label,left_addressCountry,left_addressLocality,left_postalCode,left_streetAddress,right_addressCountry,right_addressLocality,right_postalCode,right_streetAddress
,AT,Zistersdorf,8052,Aleksandra-Friedrich-Straße 11,NL,Deest,,Mayastraat 90
,AT,Kufstein,2617,Dana-Edlinger-Straße 95,EE,Lake Raivo,,Sutt Route 145
,EE,Ülleview,82106,Valeri Locks 82,AT,Retz,,Steinlechnerring 79
,NL,Grootschermer,2812 AU,Isisring 85,NL,Pietersbierum,,Emmapad 48
,NL,Voorthuizen,1552 NU,Tiesweg 137,AT,Groß-Enzersdorf,,Katharina-Stecher-Ring 136
,AT,Mürzzuschlag,8603,Tiffany-Wimmer-Weg 50,NL,Lathum,,Amberhof 92
,NL,Wetsens,5380 XN,Zakarialaan 46,AT,Schärding,,Neubacherweg 43
,NL,Hoofddorp,5788 LP,Saarsteeg 12,EE,Piretbury,,Laura Corners 45
,EE,Toomasberg,18879,Anu Trace 90,AT,Neulengbach,,Haasstr. 75
,NL,Makkum,1350 SM,Noortjesteeg 33,NL,Echteld,,Bilalring 122
,EE,Lake Irinatown,86538,Laht Mews 133,EE,East Alexanderhaven,,Anne Manor 145
,NL,Echteld,7621 AK,Bilalring 122,NL,Hidaard,,Jasperhof 106
,NL,Oppenhuizen,7639 KX,Milahof 74,EE,Viksburgh,,Viktor Points 24
,AT,Mürzzuschlag,8603,Tiffany-Wimmer-Weg 50,EE,Remmelview,,Nurk Forges 31
,NL,Hekelingen,8055 SW,Azraweg 17,EE,Alexandermouth,,Jaan River 88
,AT,Schrattenthal,5869,Elisabeth-Rössler-Ring 94,EE,Port Viktor,,Anu Isle 106
,NL,'s-Graveland,5492 CV,Mikepad 33,EE,Kozlovborough,,Paju Court 56
,NL,Bakhuizen,2328 GS,Meikelaan 31,AT,Gmunden,,Winterstr. 10
,NL,Achtmaal,7277 QZ,Suzeweg 129,EE,East Anneburgh,,Luik Garden 129
,EE,East Sander,51250,Urb Point 70,AT,Rottenmann,,Elina-Wurzer-Platz 107
,AT,Mattersburg,6922,Urbanstraße 86,NL,Tienray,,Evelienpad 133
,NL,Tripscompagnie,8550 YW,Veerlehof 31,AT,Bruck an der Leitha,,Larissa-Eberharter-Ring 62
,AT,Leibnitz,5161,Pendlring 71,EE,New Jelena,,Kristi Creek 38
,EE,Kuuskmouth,18589,Olga Hollow 46,EE,West Sirjetown,,Kolk Stream 78
,AT,Freistadt,1267,Buchbergerring 81,EE,North Aivarstad,,Indrek Stream 2
,EE,Reetbury,64161,Kaasik Field 107,AT,Schrattenthal,,Elyas-Pieber-Gasse 121
,EE,East Siimland,23309,Kondratjev Pike 122,EE,North Natalja,,Lebedev Extensions 76
,AT,Bad Radkersburg,2617,Wöhrerplatz 23,NL,Egmond-Binnen,,Gerritring 67
,AT,Jennersdorf,4114,Nikola-Schwab-Ring 3,NL,Voorburg,,Juulsteeg 36
,AT,Bruck an der Leitha,3820,Larissa-Eberharter-Ring 62,AT,Waidhofen an der Ybbs,,Steinkellnergasse 54
,EE,North Tiinahaven,82365,Jekaterina Lake 44,AT,Sankt Pölten,,Timon-Ecker-Ring 43
,AT,Retz,6077,Steinlechnerring 79,AT,Amstetten,,Waldnergasse 42
,EE,Alexandermouth,54606,Jaan River 88,EE,North Jekaterinastad,,Pavel Lock 86
,EE,Gontšarovburgh,53738,Tiina Brooks 18,NL,Krewerd,,Simonring 120
,AT,Enns,6783,Reischlstr. 110,AT,Grieskirchen,,Alexander-Kopf-Weg 18
,AT,Fürstenfeld,2510,Marvin-Jahn-Straße 111,AT,Fürstenfeld,,Marvin-Jahn-Straße 111
,AT,Oberwälz,7370,Schützstraße 103,NL,Nieuwe Pekela,,Rikdreef 97
,NL,Echteld,7621 AK,Bilalring 122,EE,North Tiinahaven,,Jekaterina Lake 44
,NL,Kuitaart,8918 NH,Bastiaanpad 40,EE,Tõnuland,,Riina Gardens 123
,EE,Tiitside,89287,Valentina Stravenue 16,AT,Krems an der Donau,,Foidlstr. 65
,AT,Rottenmann,2285,Madeleine-Teufl-Ring 6,AT,Schrattenthal,,Elyas-Pieber-Gasse 121
,NL,Nieuwe Wetering,7551 DV,Fatimasteeg 138,EE,East Valentinaside,,Mihkel Well 135
,AT,Gmunden,5878,Winterstr. 10,NL,Tonden,,Sophiepad 68
,EE,Mägichester,53090,Sokolov Turnpike 148,AT,Oberwälz,,Schützstraße 103
,EE,Elenafort,10405,Sergey Forge 83,EE,North Irinaborough,,Priit Mount 91
,AT,Villach,2107,Verena-Riedmann-Straße 92,EE,Jaanusburgh,,Gontšarov Square 129
,AT,Oberndorf bei Salzburg,2976,Franz-Marx-Straße 1,AT,Enns,,Alara-Reif-Weg 88
,AT,Leibnitz,7672,Doblerplatz 23,AT,Grieskirchen,,Alexander-Kopf-Weg 18
,AT,Trieben,3252,Melisa-Werner-Straße 111,AT,Baden,,Barbara-Mitterlehner-Gasse 123
,NL,Monster,6397 YM,Joepboulevard 18,NL,Blokzijl,,Madeliefstraat 141
,NL,2e Exloërmond,6794 GH,Vincebaan 98,NL,Zijdewind,,Aydenstraat 36
,AT,Oberndorf bei Salzburg,2976,Franz-Marx-Straße 1,AT,Schrems,,Matheo-Aschauer-Platz 119
,AT,Radenthein,3684,Stecherstraße 1,AT,Amstetten,,Waldnergasse 42
,EE,New Valentina,32408,Suvi Springs 104,NL,Sleen,,Linnbaan 30
,EE,North Natalja,19732,Lebedev Extensions 76,AT,Groß-Enzersdorf,,Katharina-Stecher-Ring 136
,AT,Schrems,5265,Richard-Dorner-Weg 104,AT,Zistersdorf,,Aleksandra-Friedrich-Straße 11
,AT,Raabs an der Thaya,5206,Tim-Scholz-Weg 102,NL,Barendrecht,,Jeltesingel 32
,AT,Gföhl,7399,Rosa-Sorger-Straße 82,AT,Dürnstein,,Dana-Neumayr-Straße 111
,AT,Fürstenfeld,2510,Marvin-Jahn-Straße 111,AT,Ferlach,,Fernando-Polzer-Platz 77
,NL,Zeijerveen,5296 CJ,Mickring 114,NL,2e Exloërmond,,Vincebaan 98
,NL,Voorburg,8196 WK,Juulsteeg 36,EE,East Anneburgh,,Luik Garden 129
,AT,Altheim,2279,Manuel-Schwendinger-Weg 5,EE,North Tiinahaven,,Jekaterina Lake 44
,AT,Braunau am Inn,3125,Jasper-Heller-Gasse 49,EE,Kozlovborough,,Paju Court 56
,AT,Villach,2107,Verena-Riedmann-Straße 92,AT,Stadtschlaining,,Joshua-Holzmann-Ring 35
,AT,Wilhelmsburg,9737,Aichingerweg 17,AT,Rottenmann,,Madeleine-Teufl-Ring 6
,EE,Tiitside,89287,Valentina Stravenue 16,NL,Bakhuizen,,Meikelaan 31
,AT,Frohnleiten,2476,Reichmannweg 137,NL,Sint Jansklooster,,Noorweg 85
,EE,Elenaville,91331,Maksim Crest 99,NL,Angeren,,Daniweg 69
,NL,Schaijk,2940 CD,Juliesingel 112,NL,Sleen,,Linnbaan 30
