label,left_addressCountry,left_addressLocality,left_postalCode,left_streetAddress,right_addressCountry,right_addressLocality,right_postalCode,right_streetAddress
,AT,Gänserndorf,8049,Nikolai-Scheucher-Ring 93,NL,Broekhuizenvorst,6061 BU,
,NL,Hoofddorp,5788 LP,Saarsteeg 12,AT,Schrems,6626,
,NL,Westerbroek,8337 QD,Fennasteeg 133,EE,New Jelena,89190,
,AT,Mattersburg,3850,Jasmine-Puntigam-Platz 74,EE,Reimanntown,75020,
,AT,Krems an der Donau,6060,Foidlstr. 65,AT,Waidhofen an der Thaya,5432,
,EE,New Viktoria,59270,Marek Fords 19,EE,New Jelena,89190,
,NL,Kerkrade,2575 PB,Lilysingel 63,AT,Marchtrenk,7718,
,EE,Eveshire,98391,Tamara Trafficway 105,NL,Venhorst,1059 KC,
,EE,East Sergey,30532,Tarmo Lake 92,AT,Frohnleiten,6578,
,AT,Retz,6077,Steinlechnerring 79,AT,Enns,2160,
,AT,Enns,2160,Alara-Reif-Weg 88,EE,New Valentina,32408,
,EE,South Jaanuschester,93376,Ossipov Crossroad 139,NL,Kuitaart,8918 NH,
,EE,Annaview,92404,Nadežda Spring 67,AT,Ybbs an der Donau,8336,
,AT,Schrattenthal,5869,Elisabeth-Rössler-Ring 94,EE,New Viktoria,59270,
,AT,Villach,2107,Verena-Riedmann-Straße 92,EE,Anneshire,31221,
,EE,Viktormouth,49275,Kiil Parks 137,AT,Radenthein,3684,
,AT,Villach,2107,Verena-Riedmann-Straße 92,NL,Haren Gn,2740 RV,
,AT,Kufstein,2617,Dana-Edlinger-Straße 95,AT,Bregenz,4948,
,NL,IJsselham,7370 DH,Merelhof 1,EE,Vainmouth,72093,
,AT,Frohnleiten,1017,Juliana-Kössler-Ring 18,AT,Zwettl,9873,
,EE,South Jaanuschester,93376,Ossipov Crossroad 139,EE,North Romanfurt,31917,
,NL,Stiens,8173 CV,Lindseyhof 123,AT,Jennersdorf,4114,
,AT,Rottenmann,2285,Madeleine-Teufl-Ring 6,EE,Põderberg,78693,
,EE,South Kristi,80489,Galina Villages 104,NL,Lobith,5348 TT,
,NL,Broekhuizenvorst,6061 BU,Milanlaan 109,AT,Landeck,2308,
,AT,Hainfeld,7929,Zettlplatz 114,AT,Purkersdorf,1916,
,AT,Ternitz,4294,Justin-Gross-Straße 126,AT,Sankt Pölten,2851,
,EE,South Meelis,74495,Aleksandr Pines 41,AT,Wolfsberg,8575,
,AT,Bregenz,4948,Haslauerplatz 84,AT,Purkersdorf,1916,
,AT,Innsbruck,2915,Leopold-Krainer-Platz 29,AT,Bischofshofen,8418,
,AT,Zwettl,9873,Jessica-Bachmann-Straße 83,EE,East Anneburgh,58498,
,AT,Waidhofen an der Ybbs,2963,Steinkellnergasse 54,AT,Rottenmann,6888,
,NL,Egmond-Binnen,6400 YE,Gerritring 67,EE,Reetbury,64161,
,AT,Rottenmann,2285,Madeleine-Teufl-Ring 6,NL,Angeren,9800 AU,
,NL,Westerbroek,8337 QD,Fennasteeg 133,EE,Jaanusborough,52268,
,NL,Zevenhoven,4578 MH,Jasmijnweg 8,EE,New Viktoria,59270,
,AT,Oberndorf bei Salzburg,2976,Franz-Marx-Straße 1,NL,Tonden,6650 HE,
,EE,Viktoriashire,33402,Tamme Port 139,EE,Lake Dianastad,99041,
,EE,South Marina,83491,Kuningas Pike 147,NL,Vries,7387 RO,
,EE,East Sergey,30532,Tarmo Lake 92,NL,Haren Gn,2740 RV,
,AT,Traismauer,9714,Neumayerplatz 30,EE,Viktormouth,49275,
,AT,Altheim,2279,Manuel-Schwendinger-Weg 5,EE,Elenaville,91331,
,AT,Braunau am Inn,3125,Jasper-Heller-Gasse 49,AT,Fürstenfeld,2510,
,NL,Rijswijk (GLD),4124 IT,Charlottebaan 71,EE,North Kristjan,19198,
,NL,Hierden,5852 XF,Zoëweg 54,AT,Landeck,2308,
,NL,Beek,8401 RT,Yaraweg 29,NL,Haren Gn,2740 RV,
,NL,Empe,5280 KE,Kayleighpad 142,EE,Sillasteberg,66820,
,AT,Mank,9672,Hoferplatz 2,NL,Eindhoven,2501 AW,
,NL,Deest,4644 TX,Mayastraat 90,AT,Fürstenfeld,2510,
,AT,Dürnstein,1474,Grünwaldplatz 18,AT,Althofen,2500,
,AT,Oberndorf bei Salzburg,2976,Franz-Marx-Straße 1,EE,Lake Annelistad,34954,
,AT,Leibnitz,7672,Doblerplatz 23,EE,Piretbury,76255,
,EE,Port Antsmouth,69810,Raag Stream 119,AT,Grieskirchen,9040,
,NL,Mander,9197 HA,Mehmetstraat 86,EE,South Jüri,41096,
,EE,West Triin,45898,Nõmmik Views 107,EE,North Kristina,78705,
,AT,Bischofshofen,8418,Stögergasse 56,EE,Toomasberg,18879,
,NL,Tripscompagnie,8550 YW,Veerlehof 31,EE,Port Antsmouth,69810,
,EE,Alexandermouth,54606,Jaan River 88,AT,Frohnleiten,1017,
,NL,Slijkenburg,9504 AE,Joëlboulevard 47,EE,East Siimland,23309,
,NL,De Zilk,5250 EI,Sennalaan 52,AT,Rottenmann,4634,
,NL,Markenbinnen,6167 FA,Lolastraat 72,EE,Reimanntown,75020,
,EE,Jaanusborough,52268,Diana Island 107,NL,Krewerd,4410 NO,
,AT,Ybbs an der Donau,8336,Helmstr. 61,NL,De Zilk,5250 EI,
,NL,Punthorst,7086 LB,Larastraat 137,AT,Mautern an der Donau,9776,
,AT,Neulengbach,1341,Haasstr. 75,NL,Nieuwe Wetering,7551 DV,
,EE,Malleton,24650,Raadik Junctions 95,EE,South Jaanuschester,93376,
,NL,Farmsum,2103 QS,Esmeeweg 105,EE,Enebury,74120,
,AT,Mautern an der Donau,4451,Draxlergasse 17,AT,Bad Hall,7287,
,AT,Oberwälz,7370,Schützstraße 103,AT,Schrattenthal,9535,
,EE,North Tiinahaven,82365,Jekaterina Lake 44,NL,Meterik,9641 EG,
,EE,Vladimirville,84750,Maria Stream 106,EE,Mägichester,53090,
,NL,Nieuwe Pekela,2569 KW,Rikdreef 97,NL,Helvoirt,9135 MC,
,NL,Lobith,5348 TT,Samsteeg 87,NL,Lengel,3250 EH,
,NL,Nieuwe Wetering,7551 DV,Fatimasteeg 138,EE,West Sirjetown,55098,
,AT,Mautern an der Donau,4451,Draxlergasse 17,EE,Elenafort,10405,
,EE,Viksburgh,72061,Viktor Points 24,AT,Mattersburg,3850,
,AT,Amstetten,9831,Reischlstraße 16,EE,North Romanfurt,31917,
,AT,Dornbirn,6636,Erhartgasse 8,NL,Kerkrade,2575 PB,
,EE,North Irinaborough,12187,Priit Mount 91,AT,Schwanenstadt,1006,
,EE,West Mihkelton,89155,Maslov Walk 8,NL,Nieuw-Weerdinge,1897 GE,
,NL,Tonden,6650 HE,Sophiepad 68,AT,Bad Radkersburg,2617,
,EE,Sergejevmouth,87483,Toots Ridges 101,AT,Mautern an der Donau,9776,
,AT,Schärding,6152,Sabine-Burtscher-Gasse 108,EE,Annaview,92404,
,AT,Sankt Valentin,2330,Kalteneggerring 37,NL,Ansen,8813 TF,
,NL,Udenhout,8151 AR,Milanpad 127,NL,Boerakker,1371 WB,
,AT,Braunau am Inn,3125,Jasper-Heller-Gasse 49,NL,2e Exloërmond,6794 GH,
,EE,East Valentinaside,86682,Mihkel Well 135,NL,Meterik,9641 EG,
,NL,Ansen,8813 TF,Stefring 97,AT,Neulengbach,9365,
,NL,Westerbroek,8337 QD,Fennasteeg 133,AT,Gmunden,3043,
,AT,Rottenmann,2285,Madeleine-Teufl-Ring 6,NL,Boerakker,1371 WB,
,NL,Kerkrade,2575 PB,Lilysingel 63,NL,Markenbinnen,6167 FA,
,AT,Leoben,7362,Konstantin-Koller-Ring 94,AT,Schwanenstadt,1006,
,AT,Mautern an der Donau,4451,Draxlergasse 17,AT,Klagenfurt,4852,
,EE,Port Antsmouth,69810,Raag Stream 119,AT,Sankt Valentin,3787,
,AT,Wiener Neustadt,1976,Kernring 18,AT,Oberndorf bei Salzburg,2976,
,AT,Hainfeld,7929,Zettlplatz 114,AT,Freistadt,1267,
,NL,Schaijk,2940 CD,Juliesingel 112,AT,Amstetten,9831,
,EE,Piretbury,76255,Laura Corners 45,NL,Bovenkarspel,1203 IS,
,AT,Retz,6077,Steinlechnerring 79,AT,Mistelbach an der Zaya,1305,
,AT,Wörgl,1110,Calvin-Mitter-Straße 50,EE,Annaview,92404,
,NL,Haren Gn,2740 RV,Merlehof 84,AT,Grieskirchen,9040,
,AT,Dornbirn,6636,Erhartgasse 8,AT,Völkermarkt,7251,
,AT,Hainburg an der Donau,5910,Stefanie-Suppan-Ring 31,NL,Tienray,9511 QK,
,EE,East Sergey,30532,Tarmo Lake 92,NL,Wijnjewoude,1022 QH,
,AT,Liezen,4309,Lily-Rechberger-Ring 65,NL,Ewijk,3850 RP,
,EE,Tiitside,89287,Valentina Stravenue 16,EE,South Kristi,80489,
,NL,Nieuwe Wetering,7551 DV,Fatimasteeg 138,AT,Schrattenthal,5709,
,EE,Lake Andreshaven,70072,Nõmme Hollow 68,EE,Kristiinaburgh,43198,
,EE,North Tiinahaven,82365,Jekaterina Lake 44,AT,Mank,3433,
,AT,Mariazell,5458,Richard-Gamsjäger-Weg 134,AT,Gmunden,3043,
,EE,Maiefurt,41478,Oras Locks 130,EE,West Mihkelton,89155,
,AT,Frohnleiten,1017,Juliana-Kössler-Ring 18,NL,Meterik,9641 EG,
,NL,Oud Zuilen,5579 YN,Lukassteeg 84,NL,Puttershoek,5658 QN,
,NL,Dreumel,5051 YZ,Stenpad 39,AT,Innsbruck,2915,
,EE,Sergejevmouth,87483,Toots Ridges 101,AT,Amstetten,9831,
,NL,Lobith,5348 TT,Samsteeg 87,NL,Hierden,5852 XF,
,AT,Hainfeld,7929,Zettlplatz 114,NL,Vuren,2498 UD,
,NL,Voorthuizen,1552 NU,Tiesweg 137,AT,Drosendorf-Zissersdorf 1,2067,
,AT,Schrems,6626,Matheo-Aschauer-Platz 119,AT,Traismauer,9714,
,AT,Bad Radkersburg,2617,Wöhrerplatz 23,NL,Sleen,5361 RW,
,AT,Purkersdorf,1916,Henrik-Reinprecht-Straße 8,NL,Puttershoek,5658 QN,
,NL,Boerakker,1371 WB,Tijnring 65,AT,Eggenburg,1653,
,EE,Annaview,19618,Aino Divide 11,AT,Freistadt,1267,
,AT,Schrattenthal,5869,Elisabeth-Rössler-Ring 94,AT,Bregenz,4948,
,EE,Kasemaabury,83887,Tiiu Port 116,AT,Neulengbach,1341,
,AT,Baden,2908,Danilo-Mitterlehner-Gasse 113,EE,Gontšarovburgh,53738,
,EE,New Jelena,89190,Kristi Creek 38,EE,North Marekbury,94678,
,NL,Beerze,2439 GU,Pepijnsteeg 115,NL,Vuren,2498 UD,
,EE,North Marekbury,94678,Jaan Lights 107,NL,Grootschermer,2812 AU,
,AT,Landeck,2308,Fitzstraße 14,EE,Pulkmouth,57994,
,EE,Remmelview,87595,Nurk Forges 31,AT,Enns,2160,
,NL,Blokzijl,8697 EV,Madeliefstraat 141,AT,Neunkirchen,3226,
,AT,Stadtschlaining,3202,Joshua-Holzmann-Ring 35,EE,Kuuskmouth,18589,
,EE,West Sirjetown,55098,Kolk Stream 78,EE,Eveshire,98391,
,NL,Farmsum,2103 QS,Esmeeweg 105,NL,Grootschermer,2812 AU,
,NL,Udenhout,8151 AR,Milanpad 127,EE,West Triin,45898,
,EE,East Alexanderhaven,35134,Anne Manor 145,AT,Schwechat,3793,
,AT,Schwechat,3793,Laureen-Nowak-Weg 135,AT,Straßburg,8357,
,AT,Ybbs an der Donau,8336,Helmstr. 61,AT,Althofen,6456,
,AT,Gänserndorf,8049,Nikolai-Scheucher-Ring 93,NL,Meterik,9641 EG,
,AT,Mistelbach an der Zaya,1305,Adamweg 34,NL,Velserbroek,7518 QF,
,EE,South Jüri,41096,Sarap Crest 87,AT,Ternitz,4294,
,AT,Mank,3433,Voglring 145,EE,East Siimland,23309,
,EE,North Kristina,64165,Kilk Corner 132,EE,East Valentinaside,86682,
,AT,Neulengbach,9365,Florentina-Schweitzer-Gasse 39,EE,Annaview,92404,
,EE,Jaanusburgh,44952,Gontšarov Square 129,EE,Enebury,74120,
,NL,Vuren,2498 UD,Aliciahof 116,AT,Schrems,5265,
,AT,Oberndorf bei Salzburg,5038,Luise-Reiter-Ring 102,EE,Langtown,76772,
,NL,Sint Jansklooster,9210 KF,Noorweg 85,NL,Loënga,5768 LO,
,NL,Echteld,7621 AK,Bilalring 122,AT,Schrattenthal,5869,
,EE,Pulkmouth,57994,Kalmus Trail 111,EE,North Sergeiburgh,56893,
,AT,Wolfsberg,8575,Laureen-Heindl-Gasse 109,AT,Mattersburg,6922,
,AT,Mank,9672,Hoferplatz 2,EE,East Tiiuton,54724,
,AT,Braunau am Inn,3125,Jasper-Heller-Gasse 49,AT,Rottenmann,2285,
,AT,Althofen,6456,Pachlergasse 7,AT,Wels,5487,
,NL,Tienray,9511 QK,Evelienpad 133,AT,Dürnstein,6578,
,NL,Broekhuizenvorst,6061 BU,Milanlaan 109,EE,Sergejevmouth,87483,
,NL,2e Exloërmond,6794 GH,Vincebaan 98,EE,Port Viktor,23734,
,EE,South Jaanuschester,93376,Ossipov Crossroad 139,AT,Poysdorf,9968,
,NL,Ewijk,3850 RP,Lukahof 42,NL,Bakhuizen,2328 GS,
,EE,New Viktoria,59270,Marek Fords 19,EE,Lake Andreshaven,70072,
,AT,Köflach,1969,Fleischmanngasse 147,NL,Vorden,9898 VS,
,AT,Stadtschlaining,3202,Joshua-Holzmann-Ring 35,NL,Wieringerwaard,4884 ND,
,AT,Scheibbs,6984,Höflergasse 51,AT,Judenburg,8262,
,EE,Port Antsmouth,69810,Raag Stream 119,EE,New Valentina,32408,
,NL,Renesse,9458 SS,Britthof 19,NL,Renesse,9458 SS,
,NL,Den Horn,7237 IN,Lotpad 136,AT,Baden,1873,
,AT,Waidhofen an der Thaya,5432,Wilfingerring 135,AT,Fürstenfeld,9237,
,AT,Krems an der Donau,6060,Foidlstr. 65,AT,Ferlach,6055,
,EE,Remmelview,87595,Nurk Forges 31,AT,Wieselburg,8804,
,EE,Tuulikstad,28046,Novikov Place 120,AT,Oberndorf bei Salzburg,5038,
,AT,Poysdorf,9968,Reichlgasse 149,AT,Groß-Enzersdorf,5588,
,AT,Radenthein,7127,Benjamin-Tischler-Platz 73,EE,East Siimland,23309,
,NL,Monster,6397 YM,Joepboulevard 18,AT,Köflach,1969,
,AT,Grieskirchen,9040,Alexander-Kopf-Weg 18,NL,Ewijk,3850 RP,
,AT,Scheibbs,6984,Höflergasse 51,AT,Hainfeld,7929,
,AT,Waidhofen an der Thaya,5432,Wilfingerring 135,NL,Nieuwe Wetering,7551 DV,
,NL,Tienray,9511 QK,Evelienpad 133,EE,Gontšarovburgh,53738,
,AT,Frohnleiten,6578,Vito-Tanzer-Ring 46,EE,East Juri,74582,
,AT,Marchtrenk,4437,Hofstätterring 12,AT,Frohnleiten,9094,
,NL,Den Horn,7237 IN,Lotpad 136,EE,Lake Triin,47768,
,NL,Empe,5280 KE,Kayleighpad 142,EE,Alexandermouth,54606,
,EE,West Anna,34769,Olga Key 51,EE,West Sirjetown,55098,
,AT,Feldkirchen,9505,Wirthstraße 27,EE,Alexandermouth,54606,
,EE,Viktoriashire,33402,Tamme Port 139,EE,Elenaville,91331,
,NL,Voorthuizen,1552 NU,Tiesweg 137,EE,Reetbury,64161,
,NL,Boerakker,1371 WB,Tijnring 65,EE,Annaview,92404,
,EE,Indrekmouth,67144,Matvejev Orchard 138,NL,Tonden,6650 HE,
,EE,Lake Andreshaven,70072,Nõmme Hollow 68,NL,Nieuw-Weerdinge,1897 GE,
,AT,Retz,6077,Steinlechnerring 79,AT,Trieben,6473,
,NL,Voorburg,8196 WK,Juulsteeg 36,NL,Kuitaart,8918 NH,
,AT,Frohnleiten,1017,Juliana-Kössler-Ring 18,AT,Leoben,7362,
,EE,West Sirjetown,55098,Kolk Stream 78,AT,Bad Hall,9626,
,NL,Punthorst,2368 YL,Suzepad 34,AT,Schärding,2475,
,NL,Makkum,1350 SM,Noortjesteeg 33,EE,Lake Andreshaven,70072,
,NL,Bovenkarspel,1203 IS,Annemijnboulevard 149,EE,Anneshire,31221,
,EE,Lake Raivo,33773,Sutt Route 145,AT,Sankt Valentin,2330,
,EE,Toomasberg,18879,Anu Trace 90,AT,Altheim,2279,
,EE,West Anna,34769,Olga Key 51,NL,Monster,6397 YM,
,NL,Grootschermer,2812 AU,Isisring 85,EE,Kasemaabury,83887,
,NL,Uithoorn,9783 DD,Sebastiaanhof 142,EE,Annaview,92404,
,EE,Kozlovborough,21696,Paju Court 56,AT,Ternitz,4294,
,AT,Frohnleiten,9094,Anita-Trattner-Straße 85,AT,Amstetten,8952,
,AT,Traun,9775,Igor-Grüner-Weg 111,NL,Westerbroek,8337 QD,
,AT,Oberndorf bei Salzburg,5038,Luise-Reiter-Ring 102,EE,Jaanusborough,52268,
,EE,New Jelena,89190,Kristi Creek 38,NL,Steenenkamer,7522 PX,
,AT,Poysdorf,9968,Reichlgasse 149,NL,Deest,4644 TX,
,NL,Rijswijk (GLD),4124 IT,Charlottebaan 71,AT,Völkermarkt,7251,
,AT,Zwettl,9873,Jessica-Bachmann-Straße 83,NL,Farmsum,2103 QS,
,AT,Neulengbach,1341,Haasstr. 75,NL,Kerkrade,2575 PB,
,NL,Haren Gn,2740 RV,Merlehof 84,NL,Beerze,2439 GU,
,NL,Renesse,9458 SS,Britthof 19,EE,Lake Raivo,33773,
,EE,Viksburgh,72061,Viktor Points 24,AT,Bad Vöslau,8890,
,AT,Leoben,7362,Konstantin-Koller-Ring 94,AT,Oberndorf bei Salzburg,2976,
,AT,Neulengbach,9365,Florentina-Schweitzer-Gasse 39,AT,Dürnstein,6578,
,AT,Rottenmann,2285,Madeleine-Teufl-Ring 6,NL,Zijdewind,2212 BB,
,AT,Stockerau,1207,Salzmannplatz 32,EE,North Tiiuville,20501,
,NL,Farmsum,2103 QS,Esmeeweg 105,AT,Bruck an der Leitha,3820,
,AT,Mürzzuschlag,8603,Tiffany-Wimmer-Weg 50,AT,Wilhelmsburg,9737,
,NL,Laag-Keppel,5912 EL,Emmabaan 11,AT,Zistersdorf,8052,
,EE,East Valentinaside,86682,Mihkel Well 135,AT,Althofen,6456,
,EE,Vladimirville,84750,Maria Stream 106,EE,Lake Dianastad,99041,
,AT,Judenburg,8262,Jennifer-Bernhard-Gasse 77,EE,Kasemaabury,83887,
,EE,North Tiinahaven,82365,Jekaterina Lake 44,AT,Neunkirchen,3226,
,NL,Dreumel,5051 YZ,Stenpad 39,AT,Bad Hall,7287,
,EE,Sergejevmouth,87483,Toots Ridges 101,EE,Kisseljovside,33477,
,NL,Wapse,6493 TX,Aaliyahdreef 118,AT,Wiener Neustadt,1976,
,AT,Wieselburg,2431,Ellergasse 123,NL,Helvoirt,9135 MC,
,EE,Kozlovborough,21696,Paju Court 56,EE,North Kristina,78705,
,AT,Leoben,7362,Konstantin-Koller-Ring 94,NL,Schaijk,2940 CD,
,EE,Port Antsmouth,69810,Raag Stream 119,AT,Wieselburg,8804,
,NL,Makkum,2114 MG,Tarasteeg 102,NL,2e Exloërmond,6794 GH,
,NL,Kuitaart,8918 NH,Bastiaanpad 40,AT,Purkersdorf,1916,
,NL,Hierden,5852 XF,Zoëweg 54,NL,Lengel,3250 EH,
,NL,Voorburg,8196 WK,Juulsteeg 36,AT,Ternitz,7599,
,EE,Kasemaabury,83887,Tiiu Port 116,NL,Kerkrade,2575 PB,
,EE,New Roman,13028,Katrin Spur 147,NL,Bakhuizen,2328 GS,
,NL,Slijkenburg,9504 AE,Joëlboulevard 47,AT,Gänserndorf,8049,
,AT,Bad Leonfelden,2034,Estelle-Suppan-Platz 79,NL,Zeijerveen,5296 CJ,
,AT,Bad Hall,7287,Fritschstraße 10,EE,Elenafort,10405,
,AT,Jennersdorf,4114,Nikola-Schwab-Ring 3,EE,Eveshire,98391,
,AT,Mattersburg,3850,Jasmine-Puntigam-Platz 74,NL,Hierden,5852 XF,
,EE,North Romanfurt,31917,Priit Street 91,NL,Mander,9197 HA,
,AT,Neulengbach,9365,Florentina-Schweitzer-Gasse 39,EE,Gontšarovburgh,53738,
,AT,Mank,3433,Voglring 145,EE,Jaanusborough,52268,
,EE,East Anneburgh,58498,Luik Garden 129,NL,Westerhoven,4010 ND,
,AT,Schrattenthal,5709,Elyas-Pieber-Gasse 121,EE,Remmelview,87595,
,AT,Oberndorf bei Salzburg,5038,Luise-Reiter-Ring 102,EE,Lake Irinatown,86538,
,AT,Baden,2908,Danilo-Mitterlehner-Gasse 113,NL,Pietersbierum,2476 JN,
,EE,Toomasberg,18879,Anu Trace 90,AT,Bad Leonfelden,2034,
,NL,Basse,5137 CW,Amirabaan 48,EE,Annaview,92404,
,EE,Lake Annelistad,34954,Laura Lodge 8,AT,Sankt Valentin,3787,
,AT,Leibnitz,5161,Pendlring 71,NL,Den Horn,7237 IN,
,EE,Elenafort,10405,Sergey Forge 83,NL,Simpelveld,2743 UN,
,AT,Wilhelmsburg,9737,Aichingerweg 17,AT,Oberwälz,7370,
,AT,Mautern an der Donau,4451,Draxlergasse 17,NL,Sint Jansklooster,9210 KF,
,AT,Bärnbach,1478,Schiestlweg 58,EE,West Sirjetown,55098,
,AT,Waidhofen an der Thaya,5432,Wilfingerring 135,NL,Blesdijke,7031 CH,
,NL,Vuren,2498 UD,Aliciahof 116,AT,Sankt Pölten,2851,
,AT,Drosendorf-Zissersdorf 1,2067,Maurerstraße 58,AT,Purbach am Neusiedler See,2252,
,AT,Retz,6077,Steinlechnerring 79,EE,East Tiiuton,54724,
,AT,Bad Hall,7287,Fritschstraße 10,AT,Klagenfurt,4852,
,EE,Langtown,76772,Anna Inlet 146,AT,Mariazell,5458,
,EE,North Marekbury,94678,Jaan Lights 107,EE,North Kristina,78705,
,EE,Alexandermouth,54606,Jaan River 88,AT,Amstetten,9831,
,EE,Elenafort,10405,Sergey Forge 83,NL,Punthorst,7086 LB,
,AT,Leoben,7362,Konstantin-Koller-Ring 94,AT,Marchtrenk,4437,
,EE,Port Alekseiland,37382,Aino Plains 117,AT,Rottenmann,6888,
,EE,Lake Andreshaven,70072,Nõmme Hollow 68,AT,Köflach,1969,
,NL,Echteld,7621 AK,Bilalring 122,EE,Piretbury,76255,
,AT,Dürnstein,5667,Dana-Neumayr-Straße 111,AT,Bad Hall,7287,
,AT,Hainburg an der Donau,5910,Stefanie-Suppan-Ring 31,AT,Bregenz,4948,
,NL,Hidaard,1008 JC,Jasperhof 106,NL,Bakhuizen,2328 GS,
,NL,Boerakker,1371 WB,Tijnring 65,NL,Hierden,5852 XF,
,AT,Baden,1873,Barbara-Mitterlehner-Gasse 123,AT,Marchtrenk,4437,
,AT,Neulengbach,9365,Florentina-Schweitzer-Gasse 39,AT,Dürnstein,5667,
,NL,Echteld,6042 AC,Berendpad 16,EE,Lake Andreshaven,70072,
,AT,Villach,2107,Verena-Riedmann-Straße 92,EE,Annuschester,41165,
,EE,North Kristina,78705,Rätsep Mill 49,AT,Retz,6077,
,NL,Echteld,6042 AC,Berendpad 16,NL,Basse,5137 CW,
,NL,2e Exloërmond,6794 GH,Vincebaan 98,EE,Elenafort,10405,
,AT,Amstetten,9831,Reischlstraße 16,AT,Freistadt,1267,
,EE,Port Alekseiland,37382,Aino Plains 117,NL,Kuitaart,8918 NH,
,AT,Ternitz,4294,Justin-Gross-Straße 126,EE,Lake Peeterfort,56464,
,AT,Mank,1500,Handlstr. 98,AT,Mürzzuschlag,8603,
,NL,'s-Graveland,5492 CV,Mikepad 33,NL,Helvoirt,9135 MC,
,AT,Fürstenfeld,2510,Marvin-Jahn-Straße 111,EE,South Marina,83491,
,NL,Helvoirt,9135 MC,Beratbaan 11,NL,Sleen,5361 RW,
,EE,Lake Annelistad,34954,Laura Lodge 8,AT,Kufstein,2617,
,AT,Zistersdorf,7590,Rothstr. 97,NL,Laag-Keppel,5912 EL,
,NL,Bakhuizen,2328 GS,Meikelaan 31,EE,Eveshire,98391,
,EE,Jevgenifort,84956,Kadri Island 34,NL,Nieuwe Pekela,2569 KW,
,AT,Raabs an der Thaya,5206,Tim-Scholz-Weg 102,AT,Fürstenfeld,9237,
,EE,Kristiinaburgh,43198,Reet Port 145,AT,Radenthein,7127,
,AT,Marchtrenk,7718,Claire-Posch-Ring 75,EE,East Tiiuton,54724,
,NL,Lathum,1463 YW,Amberhof 92,NL,Laag-Keppel,5912 EL,
,AT,Krems an der Donau,6060,Foidlstr. 65,AT,Grieskirchen,9040,
,NL,Markenbinnen,6167 FA,Lolastraat 72,EE,Lake Triin,47768,
,EE,Annuschester,41165,Laas Stream 41,NL,Nieuw-Weerdinge,1897 GE,
,AT,Raabs an der Thaya,9317,Scharfstr. 101,AT,Feldkirchen,9505,
,EE,North Natalja,19732,Lebedev Extensions 76,NL,Wetsens,5380 XN,
,AT,Mattersburg,6922,Urbanstraße 86,NL,Wijnjewoude,1022 QH,
,AT,Ferlach,6055,Fernando-Polzer-Platz 77,EE,Andreiside,45067,
,AT,Dürnstein,5667,Dana-Neumayr-Straße 111,AT,Fürstenfeld,2510,
,EE,Ülleview,82106,Valeri Locks 82,EE,Reetbury,64161,
