row,original_id,field_name,original_value,varied_value,variation_type,entity_type,duplicate_id
11,541d1a81-4815-442c-a2bb-62833d83ad7c,text,Bilalhof 68,Bilalhof 68B,Street Number Manipulation,Address,Ad13
11,541d1a81-4815-442c-a2bb-62833d83ad7c,postalCode,1625 AP,1625AP,Postal Code Formatting Variations,Address,Ad13
12,6bc9e970-c48a-4374-86dc-1579647640a1,country,EE,Estonia,Country Representation Variations,Address,Ad2
12,6bc9e970-c48a-4374-86dc-1579647640a1,text,Elena Station 124,Elena Station 124-1,Street Number Manipulation,Address,Ad2
12,6bc9e970-c48a-4374-86dc-1579647640a1,postalCode,95238,9523 8,Postal Code Formatting Variations,Address,Ad2
13,568d6f3e-f4b4-45aa-adfd-a2912fdb5c0d,city,Ferlach,Ferlcah,City and Locality Name Variations,Address,Ad4
13,568d6f3e-f4b4-45aa-adfd-a2912fdb5c0d,text,Hauserweg 75,Hauserweg 75B,Street Number Manipulation,Address,Ad4
13,568d6f3e-f4b4-45aa-adfd-a2912fdb5c0d,country,AT,Austria,Country Representation Variations,Address,Ad4
14,99755cb9-7c76-4592-a73e-3f3b5c27761d,city,Markberg,Makrberg,City and Locality Name Variations,Address,Ad6
14,99755cb9-7c76-4592-a73e-3f3b5c27761d,text,Meelis Haven 129,Meelis Haven 129-1,Street Number Manipulation,Address,Ad6
14,99755cb9-7c76-4592-a73e-3f3b5c27761d,country,EE,Estonia,Country Representation Variations,Address,Ad6
0,12f175ff-ae3b-46ec-9a27-d85888c132ad,availableLanguage,"['de', 'en']","['German', 'English']",Language Representation Variation,ContactPoint,CP15
0,12f175ff-ae3b-46ec-9a27-d85888c132ad,fax,+1-303-621-7300x869,+1-303-621-73006869,Fax Number Typo,ContactPoint,CP15
1,eb21a3f6-e6fd-48e8-969c-91c278601602,phone,001-323-902-2584,001-324-902-2584,Phone Number Typo,ContactPoint,CP12
1,eb21a3f6-e6fd-48e8-969c-91c278601602,fax,+1-920-376-9845x64280,+1-920-376-9245x64280,Fax Number Typo,ContactPoint,CP12
1,eb21a3f6-e6fd-48e8-969c-91c278601602,email,Mcneil@healthcare.org,Mcnecl@healthcare.org,Email Typo,ContactPoint,CP12
2,122411e6-ba89-42dd-85e6-9ea9db66bfda,availableLanguage,"['nl', 'en']","['Dutch', 'English']",Language Representation Variation,ContactPoint,CP14
3,0932f5b6-f11d-4ff7-8e37-05265582a3bd,fax,(0670)-172009,(0670)-170009,Fax Number Typo,ContactPoint,CP11
4,ef151673-a1df-4da7-9d44-c93e7799a8e2,phone,+31194-264183,+31194-564183,Phone Number Typo,ContactPoint,CP1
5,74151acc-f5a3-4893-bf7a-27482cbb93c2,phone,+31825-717340,+318251717340,Phone Number Typo,ContactPoint,CP5
5,74151acc-f5a3-4893-bf7a-27482cbb93c2,fax,(0970)-341489,(0970)-341889,Fax Number Typo,ContactPoint,CP5
5,74151acc-f5a3-4893-bf7a-27482cbb93c2,email,Griffin@healthcare.org,Greffin@healthcare.org,Email Typo,ContactPoint,CP5
6,9177b6d4-5f2e-4167-b13e-ceb14ad12b4c,phone,+31(0)211 669728,+34(0)211 669728,Phone Number Typo,ContactPoint,CP10
6,9177b6d4-5f2e-4167-b13e-ceb14ad12b4c,availableLanguage,['nl'],['Dutch'],Language Representation Variation,ContactPoint,CP10
7,23254d81-2bdf-4727-9501-e917496dc27b,availableLanguage,"['de', 'en']","['German', 'English']",Language Representation Variation,ContactPoint,CP8
7,23254d81-2bdf-4727-9501-e917496dc27b,email,Parker@healthcare.org,Ptrker@healthcare.org,Email Typo,ContactPoint,CP8
9,57627626-2037-4089-b11f-a10a0b2975c6,email,Jordan@healthcare.org,Joraan@healthcare.org,Email Typo,ContactPoint,CP3
10,4e98ce25-1733-4a7c-93e8-36639c14940d,email,KimTodd@healthcare.org,KemTodd@healthcare.org,Email Typo,ContactPoint,CP9
11,7680891b-6bb6-404e-a0db-22d329e316ad,phone,+3192-6902906,+3192-6903906,Phone Number Typo,ContactPoint,CP13
11,7680891b-6bb6-404e-a0db-22d329e316ad,email,Burch@healthcare.org,Bunch@healthcare.org,Email Typo,ContactPoint,CP13
12,29502326-7644-4183-9aab-d22d75ef8aab,email,Berg@healthcare.org,Bexg@healthcare.org,Email Typo,ContactPoint,CP2
12,29502326-7644-4183-9aab-d22d75ef8aab,phone,(757)762-9481,(757)792-9481,Phone Number Typo,ContactPoint,CP2
12,29502326-7644-4183-9aab-d22d75ef8aab,fax,(757)680-3429,(757)680-3129,Fax Number Typo,ContactPoint,CP2
13,fae3fcee-7636-4fd9-8376-ffa876fe579f,fax,456.336.0906x1435,456.336.0906x9435,Fax Number Typo,ContactPoint,CP4
13,fae3fcee-7636-4fd9-8376-ffa876fe579f,phone,001-293-368-4735,011-293-368-4735,Phone Number Typo,ContactPoint,CP4
14,eec9fa67-4cc6-42fc-b006-ff85166a1a98,availableLanguage,"['et', 'en']","['Estonian', 'English']",Language Representation Variation,ContactPoint,CP6
0,7d859725-c707-4ef9-86c3-744cc88e03b6,text,Jordyring 13,,omission,Address,Ad1
0,ef151673-a1df-4da7-9d44-c93e7799a8e2,email,Ibarra@healthcare.org,,omission,ContactPoint,CP1
1,6bc9e970-c48a-4374-86dc-1579647640a1,text,Elena Station 124,,omission,Address,Ad2
1,29502326-7644-4183-9aab-d22d75ef8aab,availableLanguage,"['et', 'en']",,omission,ContactPoint,CP2
2,6756264d-c864-4f78-beaf-167952b04994,country,NL,,omission,Address,Ad3
2,57627626-2037-4089-b11f-a10a0b2975c6,fax,+31(0)12 9188966,,omission,ContactPoint,CP3
3,568d6f3e-f4b4-45aa-adfd-a2912fdb5c0d,postalCode,8522,,omission,Address,Ad4
3,fae3fcee-7636-4fd9-8376-ffa876fe579f,availableLanguage,['de'],,omission,ContactPoint,CP4
4,27649a62-b02d-452c-9b05-0db28ee4fd02,postalCode,1117 FZ,,omission,Address,Ad5
4,74151acc-f5a3-4893-bf7a-27482cbb93c2,availableLanguage,"['nl', 'en']",,omission,ContactPoint,CP5
5,99755cb9-7c76-4592-a73e-3f3b5c27761d,country,EE,,omission,Address,Ad6
5,eec9fa67-4cc6-42fc-b006-ff85166a1a98,fax,(905)583-5288x9962,,omission,ContactPoint,CP6
6,3856be31-f568-49c6-833c-14694f06ea18,country,NL,,omission,Address,Ad7
6,b4480761-505e-4c9b-8bc8-8bcf7b1d4049,fax,(0053) 573452,,omission,ContactPoint,CP7
6,b4480761-505e-4c9b-8bc8-8bcf7b1d4049,email,Delgado@healthcare.org,,omission,ContactPoint,CP7
7,1095e497-3d79-4f0b-a6cd-3595d4f0d65d,country,AT,,omission,Address,Ad8
7,23254d81-2bdf-4727-9501-e917496dc27b,email,Parker@healthcare.org,,omission,ContactPoint,CP8
8,4598244b-f0bd-4405-a50d-d400a27ee80d,country,AT,,omission,Address,Ad9
8,4e98ce25-1733-4a7c-93e8-36639c14940d,availableLanguage,"['de', 'en']",,omission,ContactPoint,CP9
9,8b279c29-a274-40d7-b4a5-cc36692a7bce,country,NL,,omission,Address,Ad10
9,9177b6d4-5f2e-4167-b13e-ceb14ad12b4c,email,FigueroaStrong@healthcare.org,,omission,ContactPoint,CP10
10,ef7e85ec-a417-456f-a9ee-7f3d0ff030b8,postalCode,2121 YN,,omission,Address,Ad11
10,0932f5b6-f11d-4ff7-8e37-05265582a3bd,availableLanguage,['nl'],,omission,ContactPoint,CP11
10,0932f5b6-f11d-4ff7-8e37-05265582a3bd,email,Allen@healthcare.org,,omission,ContactPoint,CP11
11,19d5f970-98b3-4c6e-8a14-b90a7795e986,text,Andrei Parkway 88,,omission,Address,Ad12
11,eb21a3f6-e6fd-48e8-969c-91c278601602,fax,+1-920-376-9845x64280,,omission,ContactPoint,CP12
11,eb21a3f6-e6fd-48e8-969c-91c278601602,phone,001-323-902-2584,,omission,ContactPoint,CP12
12,541d1a81-4815-442c-a2bb-62833d83ad7c,postalCode,1625 AP,,omission,Address,Ad13
12,7680891b-6bb6-404e-a0db-22d329e316ad,availableLanguage,"['nl', 'en']",,omission,ContactPoint,CP13
13,bb0378eb-7a62-422e-9d69-d9fc4b1cb8bd,text,Ceylindreef 78,,omission,Address,Ad14
13,122411e6-ba89-42dd-85e6-9ea9db66bfda,fax,+31517-176045,,omission,ContactPoint,CP14
14,daf66c5f-2577-4ffa-887a-746319c16a0d,postalCode,9573,,omission,Address,Ad15
14,12f175ff-ae3b-46ec-9a27-d85888c132ad,phone,3132991615,,omission,ContactPoint,CP15
0,f0df3c2c-4e1a-4d07-97da-4ef05765c8e6,knowsLanguage,nl,Dutch,Language Representation Change,Person,Person1
0,f0df3c2c-4e1a-4d07-97da-4ef05765c8e6,birthDate,1965-05-23,23-05-1965,Birth Date Format Change,Person,Person1
0,f0df3c2c-4e1a-4d07-97da-4ef05765c8e6,personName,Ashley Williams,A. Williams,Name Abbreviation,Person,Person1
0,f0df3c2c-4e1a-4d07-97da-4ef05765c8e6,email,ashleywilliams@healthcare.org,ashledwilliams@healthcare.org,Email Typo,HealthcarePersonnel,Person1
0,f0df3c2c-4e1a-4d07-97da-4ef05765c8e6,birthDate,1965-05-23,,omission,Person,Person1
1,c5b86ef6-50ae-4aad-9624-ad65684ba126,email,alexbaldwin@healthcare.org,alefbaldwin@healthcare.org,Email Typo,HealthcarePersonnel,Person2
1,c5b86ef6-50ae-4aad-9624-ad65684ba126,knowsLanguage,nl,,omission,Person,Person2
1,c5b86ef6-50ae-4aad-9624-ad65684ba126,jobTitle,Midwife,Midwief,Job Title Typo,HealthcarePersonnel,Person2
2,93515f5e-cfd3-42bf-8c31-47ab1f829322,personName,Christine Lewis,C. Lewis,Name Abbreviation,Person,Person3
2,93515f5e-cfd3-42bf-8c31-47ab1f829322,email,christinelewis@healthcare.org,,omission,HealthcarePersonnel,Person3
2,93515f5e-cfd3-42bf-8c31-47ab1f829322,knowsLanguage,de,German,Language Representation Change,Person,Person3
3,d72ccf24-5299-4133-babe-299e109e5540,birthDate,1975-11-14,,omission,Person,Person4
4,2d5b4522-d0c3-40f1-86bf-2c63179414b6,jobTitle,Obstetrician,Obstterician,Job Title Typo,HealthcarePersonnel,Person5
4,2d5b4522-d0c3-40f1-86bf-2c63179414b6,email,reneejohnson@healthcare.org,rendejohnson@healthcare.org,Email Typo,HealthcarePersonnel,Person5
4,2d5b4522-d0c3-40f1-86bf-2c63179414b6,jobTitle,Obstetrician,,omission,HealthcarePersonnel,Person5
5,5fc0e4ef-28f4-424b-bfea-c215e21cc85f,knowsLanguage,de,,omission,Person,Person6
5,5fc0e4ef-28f4-424b-bfea-c215e21cc85f,personName,Brianna Thompson,B. Thompson,Name Abbreviation,Person,Person6
6,5d0857ae-1630-4516-bc90-c415a77cda6a,jobTitle,Neurological Nurse,,omission,HealthcarePersonnel,Person7
6,5d0857ae-1630-4516-bc90-c415a77cda6a,jobTitle,Neurological Nurse,Neurologicla Nurse,Job Title Typo,HealthcarePersonnel,Person7
7,63237dfd-5674-45be-b649-8a0e35da344b,birthDate,1972-05-04,04-05-1972,Birth Date Format Change,Person,Person8
7,63237dfd-5674-45be-b649-8a0e35da344b,personName,Robin Meyer,Meyer Robin,Name Order Change,Person,Person8
7,63237dfd-5674-45be-b649-8a0e35da344b,knowsLanguage,et,,omission,Person,Person8
8,f19d1fdf-2fc5-4a25-8209-4e225ad2ea89,email,stuarthutchinson@healthcare.org,stuarthubchinson@healthcare.org,Email Typo,HealthcarePersonnel,Person9
8,f19d1fdf-2fc5-4a25-8209-4e225ad2ea89,knowsLanguage,de,,omission,Person,Person9
8,f19d1fdf-2fc5-4a25-8209-4e225ad2ea89,jobTitle,Surgical Nurse,Surigcal Nurse,Job Title Typo,HealthcarePersonnel,Person9
9,0fa17fff-2c35-47d1-b1b6-d2813ecfb74d,jobTitle,Surgical Nurse,Surgcial Nurse,Job Title Typo,HealthcarePersonnel,Person10
9,0fa17fff-2c35-47d1-b1b6-d2813ecfb74d,knowsLanguage,de,German,Language Representation Change,Person,Person10
9,0fa17fff-2c35-47d1-b1b6-d2813ecfb74d,email,paulburton@healthcare.org,paulburtln@healthcare.org,Email Typo,HealthcarePersonnel,Person10
9,0fa17fff-2c35-47d1-b1b6-d2813ecfb74d,email,paulburton@healthcare.org,,omission,HealthcarePersonnel,Person10
9,0fa17fff-2c35-47d1-b1b6-d2813ecfb74d,birthDate,1998-12-03,03-12-1998,Birth Date Format Change,Person,Person10
9,0fa17fff-2c35-47d1-b1b6-d2813ecfb74d,personName,Paul Burton,Burton Paul,Name Order Change,Person,Person10
10,81abda59-e980-4615-beaf-c6c521dba421,email,jadegardner@healthcare.org,judegardner@healthcare.org,Email Typo,HealthcarePersonnel,Person11
10,81abda59-e980-4615-beaf-c6c521dba421,birthDate,1977-06-11,11-06-1977,Birth Date Format Change,Person,Person11
10,81abda59-e980-4615-beaf-c6c521dba421,personName,Jade Gardner,Gardner Jade,Name Order Change,Person,Person11
10,81abda59-e980-4615-beaf-c6c521dba421,knowsLanguage,de,German,Language Representation Change,Person,Person11
10,81abda59-e980-4615-beaf-c6c521dba421,birthDate,1977-06-11,,omission,Person,Person11
10,81abda59-e980-4615-beaf-c6c521dba421,jobTitle,Neonatal Nurse,Neonaatl Nurse,Job Title Typo,HealthcarePersonnel,Person11
11,5af4c197-a7d5-4c9c-adb9-0017cbac30fd,jobTitle,Obstetrician,bOstetrician,Job Title Typo,HealthcarePersonnel,Person12
11,5af4c197-a7d5-4c9c-adb9-0017cbac30fd,email,paulmorris@healthcare.org,paulmorkis@healthcare.org,Email Typo,HealthcarePersonnel,Person12
11,5af4c197-a7d5-4c9c-adb9-0017cbac30fd,birthDate,1961-03-30,30-03-1961,Birth Date Format Change,Person,Person12
11,5af4c197-a7d5-4c9c-adb9-0017cbac30fd,personName,Paul Morris,Morris Paul,Name Order Change,Person,Person12
11,5af4c197-a7d5-4c9c-adb9-0017cbac30fd,jobTitle,Obstetrician,,omission,HealthcarePersonnel,Person12
12,053f06dd-2915-47a9-b4a1-c7ad481214bd,jobTitle,Renal Dietitian,,omission,HealthcarePersonnel,Person13
12,053f06dd-2915-47a9-b4a1-c7ad481214bd,knowsLanguage,de,German,Language Representation Change,Person,Person13
12,053f06dd-2915-47a9-b4a1-c7ad481214bd,personName,Karen Howard,Howard Karen,Name Order Change,Person,Person13
12,053f06dd-2915-47a9-b4a1-c7ad481214bd,jobTitle,Renal Dietitian,Renal Diettiian,Job Title Typo,HealthcarePersonnel,Person13
12,053f06dd-2915-47a9-b4a1-c7ad481214bd,email,karenhoward@healthcare.org,karknhoward@healthcare.org,Email Typo,HealthcarePersonnel,Person13
13,76a3d0f7-998d-476a-aac4-55c92f7a8e02,birthDate,1965-03-28,,omission,Person,Person14
13,76a3d0f7-998d-476a-aac4-55c92f7a8e02,personName,Eric Moore,Moore Eric,Name Order Change,Person,Person14
13,76a3d0f7-998d-476a-aac4-55c92f7a8e02,birthDate,1965-03-28,28-03-1965,Birth Date Format Change,Person,Person14
13,76a3d0f7-998d-476a-aac4-55c92f7a8e02,email,ericmoore@healthcare.org,ericmoqre@healthcare.org,Email Typo,HealthcarePersonnel,Person14
13,76a3d0f7-998d-476a-aac4-55c92f7a8e02,jobTitle,Dialysis Nurse,Dailysis Nurse,Job Title Typo,HealthcarePersonnel,Person14
14,3bf56c91-c4ab-41df-8ed2-07d57378928b,jobTitle,Neurologist,Neuroloigst,Job Title Typo,HealthcarePersonnel,Person15
14,3bf56c91-c4ab-41df-8ed2-07d57378928b,personName,Timothy Thompson,Thompson Timothy,Name Order Change,Person,Person15
14,3bf56c91-c4ab-41df-8ed2-07d57378928b,knowsLanguage,nl,Dutch,Language Representation Change,Person,Person15
14,3bf56c91-c4ab-41df-8ed2-07d57378928b,birthDate,1980-11-10,10-11-1980,Birth Date Format Change,Person,Person15
14,3bf56c91-c4ab-41df-8ed2-07d57378928b,email,timothythompson@healthcare.org,timathythompson@healthcare.org,Email Typo,HealthcarePersonnel,Person15
14,3bf56c91-c4ab-41df-8ed2-07d57378928b,knowsLanguage,nl,,omission,Person,Person15
15,f679abc5-4912-4df7-a28f-87a00f7b2413,email,ronaldmoreno@healthcare.org,rynaldmoreno@healthcare.org,Email Typo,HealthcarePersonnel,Person16
15,f679abc5-4912-4df7-a28f-87a00f7b2413,jobTitle,Obstetric Nurse,Obstteric Nurse,Job Title Typo,HealthcarePersonnel,Person16
15,f679abc5-4912-4df7-a28f-87a00f7b2413,email,ronaldmoreno@healthcare.org,,omission,HealthcarePersonnel,Person16
16,cee87db3-fd33-4d0e-8d68-f5eb872bdd70,jobTitle,Doula,Doual,Job Title Typo,HealthcarePersonnel,Person17
16,cee87db3-fd33-4d0e-8d68-f5eb872bdd70,jobTitle,Doula,,omission,HealthcarePersonnel,Person17
16,cee87db3-fd33-4d0e-8d68-f5eb872bdd70,email,markcortez@healthcare.org,markportez@healthcare.org,Email Typo,HealthcarePersonnel,Person17
17,ac2d7f4e-8a19-44df-9536-ded98fb34a1e,knowsLanguage,nl,,omission,Person,Person18
18,d05520ae-7d7b-4f54-865d-4e2dccdeb3c4,jobTitle,EEG Technician,,omission,HealthcarePersonnel,Person19
19,7f70cc70-8866-476c-9331-55ef28354b1b,email,heatherhogan@healthcare.org,,omission,HealthcarePersonnel,Person20
19,7f70cc70-8866-476c-9331-55ef28354b1b,personName,Heather Hogan,Hogan Heather,Name Order Change,Person,Person20
20,0c4a89ce-0597-40f5-b096-840aec8dd76e,email,kathleenmullins@healthcare.org,,omission,HealthcarePersonnel,Person21
20,0c4a89ce-0597-40f5-b096-840aec8dd76e,knowsLanguage,nl,Dutch,Language Representation Change,Person,Person21
20,0c4a89ce-0597-40f5-b096-840aec8dd76e,birthDate,1974-07-01,01-07-1974,Birth Date Format Change,Person,Person21
20,0c4a89ce-0597-40f5-b096-840aec8dd76e,jobTitle,CT Scan Technician,CT Scan Tecnhician,Job Title Typo,HealthcarePersonnel,Person21
20,0c4a89ce-0597-40f5-b096-840aec8dd76e,personName,Kathleen Mullins,K. Mullins,Name Abbreviation,Person,Person21
21,d2bec313-1a06-4dbd-9d07-442ee29f714a,jobTitle,Nutrition Counselor,Nturition Counselor,Job Title Typo,HealthcarePersonnel,Person22
21,d2bec313-1a06-4dbd-9d07-442ee29f714a,email,jamesknapp@healthcare.org,jamfsknapp@healthcare.org,Email Typo,HealthcarePersonnel,Person22
21,d2bec313-1a06-4dbd-9d07-442ee29f714a,email,jamesknapp@healthcare.org,,omission,HealthcarePersonnel,Person22
22,cbf5b541-6cfe-48dc-a0c6-f318029e1c3f,email,brentjones@healthcare.org,brxntjones@healthcare.org,Email Typo,HealthcarePersonnel,Person23
22,cbf5b541-6cfe-48dc-a0c6-f318029e1c3f,birthDate,1996-09-30,,omission,Person,Person23
23,0395edd8-10a0-41e4-81bc-9e48e84ddfc8,email,angelweaver@healthcare.org,angelweaqer@healthcare.org,Email Typo,HealthcarePersonnel,Person24
23,0395edd8-10a0-41e4-81bc-9e48e84ddfc8,birthDate,1973-05-04,,omission,Person,Person24
23,0395edd8-10a0-41e4-81bc-9e48e84ddfc8,jobTitle,Ophthalmologist,Ophthalmologsit,Job Title Typo,HealthcarePersonnel,Person24
24,f47591bc-c718-4812-8ba6-6229d8191e6c,jobTitle,Vision Therapist,Vision Tehrapist,Job Title Typo,HealthcarePersonnel,Person25
24,f47591bc-c718-4812-8ba6-6229d8191e6c,birthDate,1990-03-05,,omission,Person,Person25
24,f47591bc-c718-4812-8ba6-6229d8191e6c,email,tylerrodriguez@healthcare.org,tylerpodriguez@healthcare.org,Email Typo,HealthcarePersonnel,Person25
25,db29c218-2d69-4b77-8f40-b3880cc6985b,jobTitle,Plastic Surgeon,,omission,HealthcarePersonnel,Person26
25,db29c218-2d69-4b77-8f40-b3880cc6985b,birthDate,1978-01-25,25-01-1978,Birth Date Format Change,Person,Person26
25,db29c218-2d69-4b77-8f40-b3880cc6985b,jobTitle,Plastic Surgeon,Plastic Surgeno,Job Title Typo,HealthcarePersonnel,Person26
25,db29c218-2d69-4b77-8f40-b3880cc6985b,personName,Mrs. Robyn Gardner,M. Robyn Gardner,Name Abbreviation,Person,Person26
26,f17bd3a3-daa9-49ea-9a7d-036eb9339b1b,email,patrickmcdonald@healthcare.org,,omission,HealthcarePersonnel,Person27
27,b86e8e83-0c8a-4413-a529-5cd14a21a277,birthDate,1998-01-29,,omission,Person,Person28
28,ffdbf61f-bb4b-451f-b3aa-90815cabce60,jobTitle,Child Life Specialist,Child Life Specilaist,Job Title Typo,HealthcarePersonnel,Person29
28,ffdbf61f-bb4b-451f-b3aa-90815cabce60,email,olivianelson@healthcare.org,,omission,HealthcarePersonnel,Person29
29,aad57272-e76a-4639-9573-c7e5b1c59a0d,knowsLanguage,et,,omission,Person,Person30
29,aad57272-e76a-4639-9573-c7e5b1c59a0d,personName,Samuel Freeman,S. Freeman,Name Abbreviation,Person,Person30
29,aad57272-e76a-4639-9573-c7e5b1c59a0d,birthDate,1993-05-09,09-05-1993,Birth Date Format Change,Person,Person30
30,9003698a-947f-4677-93d5-7a5d14b940d4,jobTitle,Ophthalmologist,,omission,HealthcarePersonnel,Person31
30,9003698a-947f-4677-93d5-7a5d14b940d4,email,pamelayork@healthcare.org,pamelayrrk@healthcare.org,Email Typo,HealthcarePersonnel,Person31
31,c5110450-1a4c-41e9-98ad-bd400497f2c6,jobTitle,CT Scan Technician,CT ScanT echnician,Job Title Typo,HealthcarePersonnel,Person32
31,c5110450-1a4c-41e9-98ad-bd400497f2c6,personName,Justin Huber,J. Huber,Name Abbreviation,Person,Person32
31,c5110450-1a4c-41e9-98ad-bd400497f2c6,email,justinhuber@healthcare.org,jgstinhuber@healthcare.org,Email Typo,HealthcarePersonnel,Person32
31,c5110450-1a4c-41e9-98ad-bd400497f2c6,knowsLanguage,et,,omission,Person,Person32
32,48ea5a56-7010-480a-af5c-18a85a12e96f,email,erinanderson@healthcare.org,,omission,HealthcarePersonnel,Person33
32,48ea5a56-7010-480a-af5c-18a85a12e96f,knowsLanguage,nl,Dutch,Language Representation Change,Person,Person33
32,48ea5a56-7010-480a-af5c-18a85a12e96f,birthDate,1983-12-01,01-12-1983,Birth Date Format Change,Person,Person33
32,48ea5a56-7010-480a-af5c-18a85a12e96f,personName,Erin Anderson,Anderson Erin,Name Order Change,Person,Person33
33,8d9fc5bb-b04e-4114-92b2-52e20bef77b9,email,michaelmarquez@healthcare.org,,omission,HealthcarePersonnel,Person34
33,8d9fc5bb-b04e-4114-92b2-52e20bef77b9,jobTitle,Optometrist,Optometrits,Job Title Typo,HealthcarePersonnel,Person34
