label,left_availableLanguage,left_contactType,left_email,left_faxNumber,left_telephone,right_availableLanguage,right_contactType,right_email,right_faxNumber,right_telephone
,['et'],Emergency,Green.Respiratory@dept.healthcare.org,742.994.3126x2390,544.622.9322,['et'],teave,Fisher.Emergency@dept.healthcare.org,(496)890-6515x83885,349-582-8740
,"['nl', 'en']",Emergency,Riggs.Primary@dept.healthcare.org,0724-240035,0426-963913,"['nl', 'en']",Staff,BuckBurke.Pathology@dept.healthcare.nl,+31(0)62-6422329,060 0853882
,['et'],General Inquiries,Arnold@healthcare.org,795-239-8522,600.540.4943x8856,['nl'],verwijzingen,ValenciaThomas.Laboratory@dept.healthcare.org,(041) 4622292,082-1686563
,"['nl', 'en']",Administrative,SantanaShaw@healthcare.org,(000) 2489451,+31634 896769,['et'],Administrative,Garrett@healthcare.et,671.948.4185x83989,339-733-2871
,['de'],Staff,Baker.Gastroenterologic@dept.healthcare.org,(230)733-7758x92537,584-725-0107,['de'],Appointments,Newton.Toxicologic@dept.healthcare.de,(867)714-4618,(901)538-2849
,['nl'],General Inquiries,WilliamsWilliams@healthcare.org,+31919-155875,+31(0)163 968373,"['de', 'en']",Information,Obrien.Otolaryngologic@dept.healthcare.de,001-561-288-0097x06829,(650)873-8401x041
,['et'],Appointments,Green.Rheumatologic@dept.healthcare.org,566-270-5216,001-216-444-1588x1009,['de'],Appointments,Johnson.Genetic@dept.healthcare.de,461-881-4286,001-785-808-6459x61125
,['de'],Appointments,Smith.Speech@dept.healthcare.org,313-281-1819,+1-916-238-0262x16583,"['de', 'en']",Emergency,Smth.Midwifery@dept.healthcare.org,001-688-531-1568,001-868-851-8970x3860
,['de'],Referrals,Garcia.Public@dept.healthcare.org,5768910649,+1-752-463-3297x96930,['de'],Information,Garcia.Podiatric@dept.healthcare.de,(629)287-1395,672.893.9656
,['nl'],Staff,SantanaShaw.Urologic@dept.healthcare.org,+31326 713312,(079) 4630887,['de'],Appointments,Cook.Primary@dept.healthcare.de,696-231-6937x983,355.597.6288x1867
,['de'],Appointments,Garcia.Anesthesia@dept.healthcare.org,+1-208-361-6405x0051,9987000694,['et'],Information,Fisher.Gzenetic@dept.healthcare.org,5434557439,695.588.1376x68944
,['et'],Appointments,Daniel.Physiotherapy@dept.healthcare.org,(669)386-4268,(373)813-7056,"['nl', 'en']",afspraken,SantanaShaw.Urologic@dept.healthcare.org,+31(0)56 2847314,(099)-0102983
,['de'],Referrals,Williams.Dentistry@dept.healthcare.org,+1-589-928-6405x208,001-318-412-2405,"['de', 'en']",General Inquiries,LopezKey@healthcare.de,393-244-2176,(306)565-0300
,"['de', 'en']",Information,Newton.Toxicologic@dept.healthcare.org,(560)592-1070,656-723-1695,['de'],Ãberweisungen,Newton.Community@dept.healthcare.org,287.724.1988,+1-586-358-7107
,['de'],Referrals,LopezKey.Primary@dept.healthcare.org,001-510-232-5689x56360,(601)580-2105,"['nl', 'en']",Mediarelaties,BuckBurke@healthcare.org,(0620)-743615,+31607 599449
,"['de', 'en']",Information,LeePatton.Infectious@dept.healthcare.org,(515)498-3601,001-366-736-9526x455,['nl'],Information,Nash.Pharmacy@dept.healthcare.nl,+31(0)585-898643,+3168-2180831
,['et'],Emergency,Green.Anesthesia@dept.healthcare.org,+1-559-731-8734x648,592-453-2482x89177,['de'],Termine,ReedFry.Pediatric@dept.healthcare.org,998.575.7524x3580,001-531-706-4992x229
,['nl'],Emergency,Chan.Diet@dept.healthcare.org,+3146 3195626,(0953) 248826,['et'],Staff,Austin.Rheuumatologic@dept.healthcare.org,(890)673-4942x31631,(403)407-5452x6468
,['de'],Billing,Smith@healthcare.org,+1-287-409-1662,+1-862-637-6254x25660,['et'],Information,Daniel.Dentistry@dept.healthcare.et,(203)528-0312,507-800-2072
,"['de', 'en']",Referrals,ReedFry.Midwifery@dept.healthcare.org,+1-654-297-7018,(206)249-1658x8042,"['et', 'en']",Emergency,Fishe.Cardiovascular@dept.healthcare.org,836.719.9370x31554,(969)675-0117x4387
,['nl'],Staff,PriceRobinson.Emergency@dept.healthcare.org,+3113 1233851,(0361) 141526,['et'],Staff,Austin.Rheuumatologic@dept.healthcare.org,(890)673-4942x31631,(403)407-5452x6468
,['de'],Appointments,Newton.Emergency@dept.healthcare.org,001-656-365-7299x03631,923-433-4113x710,['de'],Information,Cook.Community@dept.healthcare.de,001-746-576-8721x0996,350-227-5088
,"['nl', 'en']",Information,FaulknerHoward.Speech@dept.healthcare.org,(045) 8771652,(082) 4906649,['nl'],Administrative,FaulknerHowaard@healthcare.org,+31578 156593,021-9489241
,['de'],Appointments,ReedFry.Toxicologic@dept.healthcare.org,402-692-9438,726-420-6632,"['de', 'en']",Staff,ReedFry.Nteurologic@dept.healthcare.org,(454)262-6764x3430,501.828.4795x741
,"['de', 'en']",Information,LopezKey.Midwifery@dept.healthcare.org,345-327-5051,4776198027,['de'],Appointments,Smith.Speech@dept.healthcare.de,313-281-1819,+1-916-238-0262x16583
,['nl'],Appointments,Riggs.Plastic@dept.healthcare.org,+31(0)10-7644694,(008) 1065335,['nl'],afspraken,WilliamsWilliams.Infectious@dept.healthcare.org,(0417) 241258,+31(0)559-254972
,"['de', 'en']",Emergency,Obrien.Nursing@dept.healthcare.org,323.303.3837x25660,654-421-5099x63625,['de'],Appointments,LopezKey.Midwifery@dept.healthcare.de,+1-572-275-7274x758,001-379-429-0953x4613
,"['et', 'en']",Staff,Fisher.Public@dept.healthcare.org,+1-559-950-7694,(383)248-6763,['nl'],Referrals,WilliamsWilliams.Endocrine@dept.healthcare.nl,+3148-0052135,+31486-719061
,['nl'],Information,ValenciaThomas.Infectious@dept.healthcare.org,(0103) 079567,+31(0)050 475929,"['de', 'en']",Appointments,Obrien.RRadiography@dept.healthcare.org,460-529-6419x417,2026010750
,"['de', 'en']",Information,Smith.Radiography@dept.healthcare.org,736.858.0559x7376,+1-441-795-0924,['et'],suunamine,Brady.Gastroenterologic@dept.healthcare.org,(449)232-8774x711,001-999-641-5126
,['et'],Staff,LongMartinez.Primary@dept.healthcare.org,286.250.6068,819.719.8417,"['de', 'en']",Referrals,Cook.nAesthesia@dept.healthcare.org,220-594-6820x8668,+1-981-413-7263x57452
,"['et', 'en']",Emergency,Bishop.Endocrine@dept.healthcare.org,733.591.6805x084,(676)411-4213x94209,['de'],Emergency,Baker.Aneshesia@dept.healthcare.org,(786)610-0132,001-229-863-8942x09877
,['de'],Appointments,ReedFry.Toxicologic@dept.healthcare.org,402-692-9438,726-420-6632,"['nl', 'en']",Staff,Nash.Gynnecologic@dept.healthcare.org,025 5318724,(0221) 772442
,['de'],Referrals,LeePatton.Hematologic@dept.healthcare.org,(831)743-2871x79740,784-732-2007x2721,['de'],Notfall,Garcia.Psychiatric@dept.healthcare.org,915.499.8919x25474,463-459-4238
,"['de', 'en']",Appointments,Guerrero.Geriatric@dept.healthcare.org,500.653.0708,001-299-358-0386x8709,"['de', 'en']",Referrals,ReedFry.Midwifery@dept.healthcare.de,+1-654-297-7018,(206)249-1658x8042
,"['nl', 'en']",Information,WilliamsWilliams.Gastroenterologic@dept.healthcare.org,0530-539813,(054)-1527076,['nl'],noodgeval,Chan.Diet@dept.healthcare.org,+3146 3195626,(0953) 248826
,['nl'],Emergency,FaulknerHoward.Rheumatologic@dept.healthcare.org,+31(0)11-9752436,0388-571688,['de'],Abrechnung,Smith@healthcare.org,4353574485,001-604-450-9322x7175
,['nl'],Staff,SantanaShaw.Urologic@dept.healthcare.org,+31326 713312,(079) 4630887,['de'],Information,Williams.Toxicologic@dept.healthcare.de,779-474-3605,381-716-0035x63569
,"['nl', 'en']",Appointments,SantanaShaw.Urologic@dept.healthcare.org,+31(0)56 2847314,(099)-0102983,['de'],Personal,ReedFry.Dermatology@dept.healthcare.org,001-270-498-4558x306,001-651-735-9834
,"['nl', 'en']",Emergency,Lam.Gynecologic@dept.healthcare.org,0481-166815,+3177-0494329,['de'],Termine,LeePatton.Speech@dept.healthcare.org,4198521617,(549)984-9987x6792
,['nl'],Information,ValenciaThomas.Public@dept.healthcare.org,+3160-6655565,(020) 6208561,['et'],Information,Daniel.Dentistry@dept.healthcare.et,(203)528-0312,507-800-2072
,"['et', 'en']",Information,Mathis.Laboratory@dept.healthcare.org,001-691-983-8727x95321,516.929.9513,['et'],Appointments,Green.Public@dept.healthcare.et,311.518.0985,960-710-5249x87486
,['nl'],General Inquiries,Lam@healthcare.org,+31(0)33-4088601,(0844)-301912,"['de', 'en']",Information,Obrien.Otolaryngologic@dept.healthcare.de,001-561-288-0097x06829,(650)873-8401x041
,['nl'],Emergency,Chan.Diet@dept.healthcare.org,+3146 3195626,(0953) 248826,"['de', 'en']",Referrals,LeePatton.Midwifery@dept.healthcare.de,939.323.3323x132,512-533-8071
,['nl'],Appointments,WilliamsWilliams.Infectious@dept.healthcare.org,(0417) 241258,+31(0)559-254972,"['de', 'en']",Information,Obrien.Geriatric@dept.healthcare.de,2518578223,680.695.9773x931
,['et'],General Inquiries,Brady@healthcare.org,610-587-3176,547.779.3615x34926,['de'],Appointments,Newton.Toxicologic@dept.healthcare.de,(867)714-4618,(901)538-2849
,"['de', 'en']",Information,Obrien.Geriatric@dept.healthcare.org,2518578223,680.695.9773x931,"['et', 'en']",hÃ¤daolukord,Arnold.Speech@dept.healthcare.org,633-885-3094x4978,563.621.3624x987
,['de'],Referrals,Johnson.Rheumatologic@dept.healthcare.org,957-952-6620x65098,(767)407-7108,['de'],Termine,Smith.Primary@dept.healthcare.org,925-477-8162,243.280.8708
,['de'],Referrals,Obrien.Gastroenterologic@dept.healthcare.org,+1-754-412-2438x90681,325.313.9825x177,"['et', 'en']",Staff,Mathis.Caridovascular@dept.healthcare.org,3048290745,001-713-521-4775x023
,"['nl', 'en']",Appointments,SantanaShaw.Urologic@dept.healthcare.org,+31(0)56 2847314,(099)-0102983,['nl'],Emergency,Riggs.Pulmonary@dept.healthcare.org,+31(0)641 894827,(074)-6598211
,"['nl', 'en']",Information,Chan.Endocrine@dept.healthcare.org,074-3882542,+31(0)38 7027910,['de'],Billing,Smith@healthcare.de,+1-287-409-1662,+1-862-637-6254x25660
,['nl'],Referrals,Nash.Nursing@dept.healthcare.org,041 5604324,053 6068424,['nl'],het factureren,ValenciaThomas@healthcare.org,(035)-5645641,(054)-6921658
,['nl'],Staff,PriceRobinson.Dentistry@dept.healthcare.org,009 5894508,0257 193634,['nl'],verwijzingen,ValenciaThomas.Pulmonary@dept.healthcare.org,(041)-7298482,+3115-3711172
,['de'],Appointments,LeePatton.Dermatology@dept.healthcare.org,209-363-4597x2938,(563)742-8996x132,"['et', 'en']",hÃ¤daolukord,Garrett.Anesthesia@dept.healthcare.org,+1-655-948-4207x39657,473-772-9840
,"['et', 'en']",Referrals,Carter.Optometric@dept.healthcare.org,294-440-9541x0907,518.996.4982x3071,['et'],ametisse nimetamine,Bishop.Pathology@dept.healthcare.org,337-222-1289,001-227-419-5814x380
,['nl'],Information,PriceRobinson.Gastroenterologic@dept.healthcare.org,+31664-381415,(0945) 365865,['de'],Notfall,Williams.Gastroenterologic@dept.healthcare.org,319-438-1357,(844)892-6012
,"['et', 'en']",Appointments,Brady.Toxicologic@dept.healthcare.org,553-308-3780x650,9047689415,['et'],Staff,LongMartinez.Respiratory@dept.healthcare.et,(872)381-7936x662,346.622.0231
,"['et', 'en']",Referrals,Carter.Optometric@dept.healthcare.org,294-440-9541x0907,518.996.4982x3071,['et'],suunamine,Brady.Gastroenterologic@dept.healthcare.org,(449)232-8774x711,001-999-641-5126
,"['de', 'en']",Referrals,ReedFry.Midwifery@dept.healthcare.org,+1-654-297-7018,(206)249-1658x8042,"['nl', 'en']",Referrals,SantanaShaw.Rheumatologic@dept.healthcare.nl,(0834)-606772,+31(0)02 0865150
,['et'],Appointments,Green.Rheumatologic@dept.healthcare.org,566-270-5216,001-216-444-1588x1009,['nl'],Staff,PriceRobinson..Emergency@dept.healthcare.org,+3113 1233851,(0361) 141526
,"['nl', 'en']",Staff,Chan.Toxicologic@dept.healthcare.org,(0186) 180455,(089)-6304883,['et'],ametisse nimetamine,Bishop.Pathology@dept.healthcare.org,337-222-1289,001-227-419-5814x380
,['et'],Information,Fisher.Genetic@dept.healthcare.org,5434557439,695.588.1376x68944,['nl'],het factureren,ValenciaThomas@healthcare.org,(035)-5645641,(054)-6921658
,"['nl', 'en']",Appointments,PriceRobinson.Obstetric@dept.healthcare.org,0879 859362,(031)-9509423,['de'],Referrals,LeePatton.Hematologic@dept.healthcare.de,(831)743-2871x79740,784-732-2007x2721
,"['nl', 'en']",Staff,BuckBurke.Laboratory@dept.healthcare.org,+31610-043398,0565-447879,"['et', 'en']",haldus-,Carter@healthcare.org,951-537-5806x6065,4618126486
,"['nl', 'en']",Staff,Lam.Obstetric@dept.healthcare.org,069 8057358,(091)-0046863,['et'],Staff,LngMartinez.Primary@dept.healthcare.org,286.250.6068,819.719.8417
,['de'],Appointments,Cook.Primary@dept.healthcare.org,696-231-6937x983,355.597.6288x1867,['nl'],noodgeval,Chan.Diet@dept.healthcare.org,+3146 3195626,(0953) 248826
,"['nl', 'en']",Media Relations,BuckBurke@healthcare.org,(0620)-743615,+31607 599449,"['de', 'en']",Emergency,Smth.Midwifery@dept.healthcare.org,001-688-531-1568,001-868-851-8970x3860
,"['de', 'en']",Staff,Newton.Dermatology@dept.healthcare.org,657-519-9209x1630,247-766-5676x30145,['et'],General Inquiries,Green@healthcare.et,275.615.9179x533,886-684-8339
,['nl'],Referrals,ValenciaThomas.Obstetric@dept.healthcare.org,0242-447800,0265 599503,['nl'],Referrals,WilliamsWilliams.Endocrine@dept.healthcare.nl,+3148-0052135,+31486-719061
,"['de', 'en']",Staff,Newton.Dermatology@dept.healthcare.org,657-519-9209x1630,247-766-5676x30145,['et'],Staff,Fisher.Otolaryngologic@dept.healthcare.et,(619)403-5767,427.213.5480
,"['nl', 'en']",Information,WilliamsWilliams.Gastroenterologic@dept.healthcare.org,0530-539813,(054)-1527076,"['nl', 'en']",Administrative,SantanaaShaw@healthcare.org,(000) 2489451,+31634 896769
,['de'],Staff,Garcia.Midwifery@dept.healthcare.org,001-224-907-5758x349,(825)518-9729,"['nl', 'en']",Algemene vragen,Nash@healthcare.org,+31(0)06-9602714,0935 233769
,"['de', 'en']",General Inquiries,Williams@healthcare.org,(224)255-5159,(690)297-7658x236,['et'],hÃ¤daolukord,Green.Anesthesia@dept.healthcare.org,+1-559-731-8734x648,592-453-2482x89177
,"['de', 'en']",Appointments,Johnson.Cardiovascular@dept.healthcare.org,+1-577-817-7002x6210,001-239-652-6514x45185,['nl'],Information,Nash.Pharmacy@dept.healthcare.nl,+31(0)585-898643,+3168-2180831
,"['et', 'en']",Administrative,Carter@healthcare.org,951-537-5806x6065,4618126486,"['nl', 'en']",Referrals,Nash.cGastroenterologic@dept.healthcare.org,+31(0)082 111913,0090 292719
,['de'],Information,Garcia.Podiatric@dept.healthcare.org,(629)287-1395,672.893.9656,['de'],Personal,ReedFry.Dermatology@dept.healthcare.org,001-270-498-4558x306,001-651-735-9834
,['nl'],Emergency,Riggs.Geriatric@dept.healthcare.org,+3139 9880320,+3110 1269407,"['de', 'en']",Information,GibbsReese.Hematologic@dept.healthcare.org,265.865.5500,+1-403-755-3875x5229
,"['nl', 'en']",Information,BuckBurke.Pulmonary@dept.healthcare.org,+31300-477006,0520 195182,"['de', 'en']",Referrals,Johnson.Gnecologic@dept.healthcare.org,(704)280-9843x0781,+1-684-878-6942
,"['nl', 'en']",Referrals,WilliamsWilliams.Dentistry@dept.healthcare.org,+31(0)96 6558627,+31(0)77-5923559,['et'],Appointments,Brady.Cardioovascular@dept.healthcare.org,+1-829-821-2282,+1-245-243-6001x29592
,"['et', 'en']",Information,Bishop.Infectious@dept.healthcare.org,3486296654,838.506.7347x8750,"['et', 'en']",Information,Arnold.Renal@dept.healthcare.et,5366036318,424-377-9740x712
,"['nl', 'en']",Referrals,WilliamsWilliams.Dentistry@dept.healthcare.org,+31(0)96 6558627,+31(0)77-5923559,['de'],Emergency,LoepzKey.Dentistry@dept.healthcare.org,864.370.2527x33127,352-764-2213x857
,"['de', 'en']",Staff,ReedFry.Neurologic@dept.healthcare.org,(454)262-6764x3430,501.828.4795x741,"['de', 'en']",Referrals,Cook.nAesthesia@dept.healthcare.org,220-594-6820x8668,+1-981-413-7263x57452
,"['nl', 'en']",Appointments,SantanaShaw.Anesthesia@dept.healthcare.org,056 4421978,+31(0)71-1726268,['nl'],General Inquiries,Lam@healthcare.nl,+31(0)33-4088601,(0844)-301912
,"['de', 'en']",Appointments,Johnson.Cardiovascular@dept.healthcare.org,+1-577-817-7002x6210,001-239-652-6514x45185,['de'],Information,Garcia.Podiatric@dept.healthcare.de,(629)287-1395,672.893.9656
,"['nl', 'en']",Referrals,PriceRobinson.Rheumatologic@dept.healthcare.org,+31(0)86 3381050,0901-133345,"['nl', 'en']",Appointments,BuckBurke.Laboratory@dept.healthcare.nl,+3130 4299423,(097)-6025894
,"['et', 'en']",Emergency,Bishop.Endocrine@dept.healthcare.org,733.591.6805x084,(676)411-4213x94209,"['de', 'en']",Appointments,Obrien.RRadiography@dept.healthcare.org,460-529-6419x417,2026010750
,"['de', 'en']",Patient Services,Obrien@healthcare.org,001-609-340-9555x72981,+1-561-882-3366x706,['et'],hÃ¤daolukord,Green.Anesthesia@dept.healthcare.org,+1-559-731-8734x648,592-453-2482x89177
,['nl'],Information,Nash.Pharmacy@dept.healthcare.org,+31(0)585-898643,+3168-2180831,['de'],Information,Obrien.Hematologic@dept.healthcare.org,001-566-292-2396,+1-342-322-0338x1177
,['de'],Staff,Baker.Gastroenterologic@dept.healthcare.org,(230)733-7758x92537,584-725-0107,"['et', 'en']",Staff,Fimsher.Public@dept.healthcare.org,+1-559-950-7694,(383)248-6763
,"['nl', 'en']",Emergency,PriceRobinson.Respiratory@dept.healthcare.org,+31(0)97-1305645,0740 190587,"['de', 'en']",Appointments,Obrien.RRadiography@dept.healthcare.org,460-529-6419x417,2026010750
,['et'],General Inquiries,Green@healthcare.org,275.615.9179x533,886-684-8339,['et'],Appointments,Gree.Diet@dept.healthcare.org,+1-847-979-5417x21848,+1-402-781-6459x305
,['nl'],Emergency,Riggs.Geriatric@dept.healthcare.org,+3139 9880320,+3110 1269407,['de'],Appointments,Johnson.Genetic@dept.healthcare.de,461-881-4286,001-785-808-6459x61125
,['nl'],Appointments,SantanaShaw.Dentistry@dept.healthcare.org,+3146-2082263,+31419-921707,"['nl', 'en']",afspraken,SantanaShaw.Urologic@dept.healthcare.org,+31(0)56 2847314,(099)-0102983
,['de'],Appointments,Newton.Toxicologic@dept.healthcare.org,(867)714-4618,(901)538-2849,"['de', 'en']",Staff,Newton.Dermatology@dept.healthcare.de,657-519-9209x1630,247-766-5676x30145
,"['de', 'en']",Information,ReedFry.Radiography@dept.healthcare.org,(538)271-1821x53945,(834)636-1216x51002,['de'],Termine,LeePatton.Speech@dept.healthcare.org,4198521617,(549)984-9987x6792
,"['de', 'en']",Emergency,Obrien.Nursing@dept.healthcare.org,323.303.3837x25660,654-421-5099x63625,"['et', 'en']",Billing,Austin@healthcare.et,8826759451,416-588-2223
,['et'],Billing,LongMartinez@healthcare.org,001-408-608-6259x118,(492)964-8022,"['de', 'en']",Information,GibbsReese.Hematologic@dept.healthcare.org,265.865.5500,+1-403-755-3875x5229
,"['et', 'en']",Referrals,LongMartinez.Hematologic@dept.healthcare.org,001-861-780-8548x852,8724383779,"['et', 'en']",teave,Mathis.Primary@dept.healthcare.org,+1-715-440-4006x5079,913-765-4098
,"['et', 'en']",Referrals,Daniel.Neurologic@dept.healthcare.org,7762925773,876-767-5502x71852,['de'],Ãberweisungen,Williams.Speech@dept.healthcare.org,492-377-0952x6042,001-616-747-4060x712
,['et'],Staff,LongMartinez.Respiratory@dept.healthcare.org,(872)381-7936x662,346.622.0231,['et'],General Inquiries,Braady@healthcare.org,610-587-3176,547.779.3615x34926
,['et'],Staff,Arnold.Dermatology@dept.healthcare.org,+1-286-771-2721x647,799.475.4308x95127,['nl'],informatie,PriceRobinson.Gastroenterologic@dept.healthcare.org,+31664-381415,(0945) 365865
,['de'],Appointments,LeePatton.Speech@dept.healthcare.org,4198521617,(549)984-9987x6792,['de'],Appointments,Smith.Speech@dept.healthcare.de,313-281-1819,+1-916-238-0262x16583
,['de'],Emergency,Baker.Anesthesia@dept.healthcare.org,(786)610-0132,001-229-863-8942x09877,"['de', 'en']",Allgemeine Anfragen,Guerrero@healthcare.org,+1-714-487-8674x238,(227)990-6196x5387
,['et'],Emergency,Arnold.Musculoskeletal@dept.healthcare.org,(332)813-4408,694.435.5416x81863,"['de', 'en']",Appointments,Obrien.RRadiography@dept.healthcare.org,460-529-6419x417,2026010750
,['et'],General Inquiries,Arnold@healthcare.org,795-239-8522,600.540.4943x8856,['de'],Referrals,Smith.Gastrooenterologic@dept.healthcare.org,001-414-790-6456,001-545-371-0054x6936
,['de'],Information,Williams.Toxicologic@dept.healthcare.org,779-474-3605,381-716-0035x63569,"['et', 'en']",hÃ¤daolukord,Arnold.Speech@dept.healthcare.org,633-885-3094x4978,563.621.3624x987
,['nl'],Referrals,PriceRobinson.Neurologic@dept.healthcare.org,098 4481074,+31(0)98 7338672,"['de', 'en']",Information,Smith.Radiography@dept.healthcare.org,736.858.0559x7376,+1-441-795-0924
