label,left_birthDate,left_email,left_gender,left_jobTitle,left_knowsLanguage,left_name,right_birthDate,right_email,right_gender,right_jobTitle,right_knowsLanguage,right_name
,1995-07-09,billhamilton@healthcare.org,Other,Primary Care Nurse,et,Bill Hamilton,1998-06-07,vpictorwilson@healthcare.org,Male,Community Outreach Specialist,Estonian,Victor Wilson
,1965-02-06,drashleyparkdds@healthcare.org,Male,Hematology Nurse,de,Dr. Ashley Park DDS,1983-08-03,kevincooper@healthcare.org,Other,Medical Laboratory Scientist,German,Kevin Cooper
,1974-02-19,russellsilva@healthcare.org,Other,Therapist,nl,Russell Silva,1972-04-28,caitlinwrright@healthcare.org,Female,Pathologist,Dutch,Caitlin Wright
,1978-04-02,matthewbarnett@healthcare.org,Female,Surgical Nurse,de,Matthew Barnett,1983-08-03,kevincooper@healthcare.org,Other,Medical Laboratory Scientist,German,Kevin Cooper
,1988-03-28,dawnlee@healthcare.org,Other,Surgical Technologist,de,Dawn Lee,1983-08-03,kevincooper@healthcare.org,Other,Medical Laboratory Scientist,German,Kevin Cooper
,1973-11-25,brianvazquez@healthcare.org,Male,Public Health Nurse,et,Brian Vazquez,1998-06-07,vpictorwilson@healthcare.org,Male,Community Outreach Specialist,Estonian,Victor Wilson
,1961-07-03,bonniewilliamson@healthcare.org,Male,Rheumatology Nurse,de,Bonnie Williamson,1983-08-03,kevincooper@healthcare.org,Other,Medical Laboratory Scientist,German,Kevin Cooper
,1961-03-28,emilycooper@healthcare.org,Male,Obstetrician,et,Emily Cooper,1961-03-28,emilycoper@healthcare.org,Male,Obstetrician,Estonian,Emily Cooper
,1987-07-20,gregoryholmes@healthcare.org,Male,Environmental Health Officer,de,Gregory Holmes,1987-20-07,grgoryholmes@healthcare.org,Male,Environmental Health Officer,de,Gregory Holmes
,1977-03-04,abigailelliott@healthcare.org,Other,Gastroenterologist,nl,Abigail Elliott,1977-03-04,abigailellioott@healthcare.org,Other,Gastroenterologist,nl,Elliott Abigail
,1977-08-06,cliffordblair@healthcare.org,Other,Community Health Worker,et,Clifford Blair,1977-06-08,cliffoordblair@healthcare.org,Other,Community Health Worker,et,Clifford Blair
,1974-04-10,antonioherring@healthcare.org,Female,Speech Therapist,nl,Antonio Herring,1974-04-10,antonioherrnig@healthcare.org,Female,Speech Therapist,Dutch,Antonio Herring
,1972-02-09,ashleyle@healthcare.org,Other,Gynecologist,et,Ashley Le,1972-09-02,asleyle@healthcare.org,Other,Gynecologist,et,Ashley Le
,1966-03-03,sandramoses@healthcare.org,Other,Anesthesiology Nurse,nl,Sandra Moses,1966-03-03,sandvramoses@healthcare.org,Other,Anesthesiology Nurse,nl,S. Moses
,1993-06-19,johnpineda@healthcare.org,Female,Anesthesiology Nurse,de,John Pineda,1993-19-06,johnpinead@healthcare.org,Female,Anesthesiology Nurse,de,John Pineda
,1986-11-20,tracybrown@healthcare.org,Male,General Practitioner,de,Tracy Brown,1986-11-20,trnacybrown@healthcare.org,Male,General Practitioner,de,T. Brown
,1980-01-26,tammydelgado@healthcare.org,Male,General Practitioner,de,Tammy Delgado,1980-01-26,tammyelgado@healthcare.org,Male,General Practitioner,German,Tammy Delgado
,1964-01-25,tarasanchez@healthcare.org,Female,School Nurse,nl,Tara Sanchez,1964-25-01,taraasnchez@healthcare.org,Female,School Nurse,nl,Tara Sanchez
,1996-11-13,dustinpena@healthcare.org,Female,Pathologist,et,Dustin Pena,1996-11-13,dustinmpena@healthcare.org,Female,Pathologist,et,Dustin Pwna
,1994-08-10,cameronroberts@healthcare.org,Other,Endocrinologist,et,Cameron Roberts,1994-10-08,cameronrobrets@healthcare.org,Other,Endocrinologist,et,Cameron Roberts
,1962-12-06,robertrobertson@healthcare.org,Female,Licensed Practical Nurse,et,Robert Robertson,1962-12-06,robertrobbertson@healthcare.org,Female,Licensed Practical Nurse,et,R. Robertson
,1968-02-10,angelajuarez@healthcare.org,Female,Psychiatrist,nl,Angela Juarez,1968-10-02,angeajuarez@healthcare.org,Female,Psychiatrist,nl,Angela Juarez
,1983-11-14,taylorrios@healthcare.org,Male,Midwife,et,Taylor Rios,1983-14-11,taylozrrios@healthcare.org,Male,Midwife,et,Taylor Rios
,1968-04-10,jessicasteele@healthcare.org,Male,Epidemiologist,de,Jessica Steele,1968-04-10,jessicastesele@healthcare.org,Male,Epidemiologist,de,J. Steele
,1963-01-18,charlesowens@healthcare.org,Other,Rehabilitation Specialist,et,Charles Owens,1963-18-01,charlessowens@healthcare.org,Other,Rehabilitation Specialist,et,Charles Owens
,1992-10-14,taracopeland@healthcare.org,Female,Surgical Nurse,et,Tara Copeland,1992-10-14,taracopelannd@healthcare.org,Female,Surgical Nurse,et,Talra Copeland
,1966-05-05,johnmcgrath@healthcare.org,Female,Genetic Counselor,de,John Mcgrath,1966-05-05,johnmmcgrath@healthcare.org,Female,Genetic Counselor,de,John Mbcgrath
,1991-03-13,jennifermiller@healthcare.org,Female,Anesthesiologist,et,Jennifer Miller,1991-03-13,jennifermiller@healthcare.org,Female,Anesthesiologist,et,J. Miller
,1966-03-03,sandramoses@healthcare.org,Other,Anesthesiology Nurse,nl,Sandra Moses,1966-03-03,sandvramoses@healthcare.org,Other,Anesthesiology Nurse,nl,S. Moses
,1986-11-20,tracybrown@healthcare.org,Male,General Practitioner,de,Tracy Brown,1986-11-20,trnacybrown@healthcare.org,Male,General Practitioner,de,T. Brown
,1962-12-06,robertrobertson@healthcare.org,Female,Licensed Practical Nurse,et,Robert Robertson,1962-12-06,robertrobbertson@healthcare.org,Female,Licensed Practical Nurse,et,R. Robertson
,1968-04-10,jessicasteele@healthcare.org,Male,Epidemiologist,de,Jessica Steele,1968-04-10,jessicastesele@healthcare.org,Male,Epidemiologist,de,J. Steele
,1996-09-05,lisafoster@healthcare.org,Female,Epidemiologist,et,Lisa Foster,1996-09-05,lifsafoster@healthcare.org,Female,Epidemiologist,et,L. Foster
,1983-09-19,teresasmith@healthcare.org,Male,Toxicologist,nl,Teresa Smith,1983-09-19,teresasgmith@healthcare.org,Male,Toxicologist,nl,T. Smith
,1959-12-02,maryhess@healthcare.org,Other,Nutritionist,de,Mary Hess,1959-12-02,maryhejss@healthcare.org,Other,Nutritionist,de,M. Hess
,1980-07-30,samanthajackson@healthcare.org,Male,Speech Pathologist,de,Samantha Jackson,1980-07-30,saamanthajackson@healthcare.org,Male,Speech Pathologist,de,S. Jackson
,1977-11-18,michaelgrant@healthcare.org,Male,GI Nurse,et,Michael Grant,1977-11-18,michaelgrnat@healthcare.org,Male,GI Nurse,et,M. Grant
,1960-10-08,scottterrell@healthcare.org,Female,Infectious Disease Specialist,et,Scott Terrell,1960-10-08,scottterell@healthcare.org,Female,Infectious Disease Specialist,et,S. Terrell
,1976-03-03,ethanjonesdds@healthcare.org,Male,Community Outreach Specialist,et,Ethan Jones DDS,1976-03-03,ethanjnoesdds@healthcare.org,Male,Community Outreach Specialist,et,E. Jones DDS
,1988-09-01,johntanner@healthcare.org,Female,Respiratory Therapist,de,John Tanner,1988-09-01,jonhtanner@healthcare.org,Female,Respiratory Therapist,de,J. Tanner
,1959-08-22,timothyhuerta@healthcare.org,Other,Public Health Officer,nl,Timothy Huerta,1959-08-22,timohtyhuerta@healthcare.org,Other,Public Health Officer,nl,T. Huerta
,2000-02-18,ericmunoz@healthcare.org,Female,Rheumatologist,nl,Eric Munoz,2000-02-18,ericmuoz@healthcare.org,Female,Rheumatologist,nl,E. Munoz
,1998-12-15,rebeccapalmer@healthcare.org,Other,Geriatrician,et,Rebecca Palmer,1998-12-15,rebeccapalmer@healthcare.org,Other,Geriatrician,et,R. Palmer
,1998-01-30,hannahlove@healthcare.org,Male,GI Nurse,nl,Hannah Love,1998-01-30,hannahloe@healthcare.org,Male,GI Nurse,nl,H. Love
,1994-02-17,robertcoleman@healthcare.org,Other,Emergency Medical Technician,et,Robert Coleman,1994-02-17,robertcoleman@healthcare.org,Other,Emergency Medical Technician,et,R. Coleman
,1992-09-30,dianamurray@healthcare.org,Male,Primary Care Nurse,nl,Diana Murray,1992-09-30,dianamurray@healthcare.org,Male,Primary Care Nurse,nl,D. Murray
,1988-04-29,dianaellis@healthcare.org,Male,Cardiologist,nl,Diana Ellis,1988-04-29,dianqaellis@healthcare.org,Male,Cardiologist,nl,D. Ellis
,1987-07-20,gregoryholmes@healthcare.org,Male,Environmental Health Officer,de,Gregory Holmes,1987-20-07,grgoryholmes@healthcare.org,Male,Environmental Health Officer,de,Gregory Holmes
,1977-08-06,cliffordblair@healthcare.org,Other,Community Health Worker,et,Clifford Blair,1977-06-08,cliffoordblair@healthcare.org,Other,Community Health Worker,et,Clifford Blair
,1972-02-09,ashleyle@healthcare.org,Other,Gynecologist,et,Ashley Le,1972-09-02,asleyle@healthcare.org,Other,Gynecologist,et,Ashley Le
,1993-06-19,johnpineda@healthcare.org,Female,Anesthesiology Nurse,de,John Pineda,1993-19-06,johnpinead@healthcare.org,Female,Anesthesiology Nurse,de,John Pineda
,1964-01-25,tarasanchez@healthcare.org,Female,School Nurse,nl,Tara Sanchez,1964-25-01,taraasnchez@healthcare.org,Female,School Nurse,nl,Tara Sanchez
,1994-08-10,cameronroberts@healthcare.org,Other,Endocrinologist,et,Cameron Roberts,1994-10-08,cameronrobrets@healthcare.org,Other,Endocrinologist,et,Cameron Roberts
,1968-02-10,angelajuarez@healthcare.org,Female,Psychiatrist,nl,Angela Juarez,1968-10-02,angeajuarez@healthcare.org,Female,Psychiatrist,nl,Angela Juarez
,1983-11-14,taylorrios@healthcare.org,Male,Midwife,et,Taylor Rios,1983-14-11,taylozrrios@healthcare.org,Male,Midwife,et,Taylor Rios
,1963-01-18,charlesowens@healthcare.org,Other,Rehabilitation Specialist,et,Charles Owens,1963-18-01,charlessowens@healthcare.org,Other,Rehabilitation Specialist,et,Charles Owens
,1989-08-09,seanfisher@healthcare.org,Other,Neurosurgeon,et,Sean Fisher,1989-09-08,seanfissher@healthcare.org,Other,Neurosurgeon,et,Sean Fisher
,1977-11-30,justinmendez@healthcare.org,Male,Radiation Therapist,de,Justin Mendez,1977-30-11,jutsinmendez@healthcare.org,Male,Radiation Therapist,de,Justin Mendez
,1982-02-26,aprilsmith@healthcare.org,Other,Hematology Nurse,et,April Smith,1982-26-02,aprilsmith@healthcare.org,Other,Hematology Nurse,et,April Smith
,1976-09-01,joeparker@healthcare.org,Other,Respiratory Therapist,et,Joe Parker,1976-01-09,jeparker@healthcare.org,Other,Respiratory Therapist,et,Joe Parker
,1960-03-14,christinefischer@healthcare.org,Other,Dermatology Nurse,de,Christine Fischer,1960-14-03,chrisktinefischer@healthcare.org,Other,Dermatology Nurse,de,Christine Fischer
,1975-11-06,douglasking@healthcare.org,Female,Rheumatologist,nl,Douglas King,1975-06-11,douglaksing@healthcare.org,Female,Rheumatologist,nl,Douglas King
,1991-03-13,davidclark@healthcare.org,Other,Endocrinologist,de,David Clark,1991-13-03,davidclark@healthcare.org,Other,Endocrinologist,de,David Clark
,1984-03-05,kylehowell@healthcare.org,Female,Morgue Attendant,et,Kyle Howell,1984-05-03,kylehowell@healthcare.org,Female,Morgue Attendant,et,Kyle Howell
,1970-06-30,michelecook@healthcare.org,Female,Gynecologist,nl,Michele Cook,1970-30-06,michelecook@healthcare.org,Female,Gynecologist,nl,Michele Cook
,1983-01-16,arianagardner@healthcare.org,Female,Psychiatrist,de,Ariana Gardner,1983-16-01,arianagradner@healthcare.org,Female,Psychiatrist,de,Ariana Gardner
,1998-10-18,kevinkaufman@healthcare.org,Female,Epidemiologist,de,Kevin Kaufman,1998-18-10,kevinkaufman@healthcare.org,Female,Epidemiologist,de,Kevin Kaufman
,1977-03-04,abigailelliott@healthcare.org,Other,Gastroenterologist,nl,Abigail Elliott,1977-03-04,abigailellioott@healthcare.org,Other,Gastroenterologist,nl,Elliott Abigail
,1969-09-24,ernestsims@healthcare.org,Male,Orthopedic Nurse,et,Ernest Sims,1969-09-24,ernestsims@healthcare.org,Male,Orthopedic Nurse,et,Sims Ernest
,1973-01-11,stevenjones@healthcare.org,Male,Orthotic Specialist,et,Steven Jones,1973-01-11,stvenjones@healthcare.org,Male,Orthotic Specialist,et,Jones Steven
,1991-09-12,brendaparks@healthcare.org,Other,Obstetric Nurse,et,Brenda Parks,1991-09-12,brendaarks@healthcare.org,Other,Obstetric Nurse,et,Parks Brenda
,1960-06-30,ryanjohns@healthcare.org,Other,Epidemiologist,nl,Ryan Johns,1960-06-30,ryanjohfns@healthcare.org,Other,Epidemiologist,nl,Johns Ryan
,1971-09-27,brianclayton@healthcare.org,Male,Emergency Medical Technician,nl,Brian Clayton,1971-09-27,briarnclayton@healthcare.org,Male,Emergency Medical Technician,nl,Clayton Brian
,1978-05-01,michaelwagner@healthcare.org,Male,EKG Technician,nl,Michael Wagner,1978-05-01,michaelwagnr@healthcare.org,Male,EKG Technician,nl,Wagner Michael
,1967-07-22,kathrynodonnell@healthcare.org,Other,Women's Health Nurse,de,Kathryn Odonnell,1967-07-22,kathrrynodonnell@healthcare.org,Other,Women's Health Nurse,de,Odonnell Kathryn
,1984-01-24,petermiller@healthcare.org,Other,Medical Laboratory Scientist,et,Peter Miller,1984-01-24,petermiler@healthcare.org,Other,Medical Laboratory Scientist,et,Miller Peter
,1989-11-25,jasminecannon@healthcare.org,Female,Obstetrics Technician,de,Jasmine Cannon,1989-11-25,jasmminecannon@healthcare.org,Female,Obstetrics Technician,de,Cannon Jasmine
,1961-09-16,jonathanmacias@healthcare.org,Other,Neurosurgeon,de,Jonathan Macias,1961-09-16,jnathanmacias@healthcare.org,Other,Neurosurgeon,de,Macias Jonathan
,1997-11-26,tylerschroeder@healthcare.org,Other,Medical Assistant,de,Tyler Schroeder,1997-11-26,tylerschroder@healthcare.org,Other,Medical Assistant,de,Schroeder Tyler
,1962-04-02,richardmartinez@healthcare.org,Female,Respiratory Therapist,nl,Richard Martinez,1962-04-02,richardmmartinez@healthcare.org,Female,Respiratory Therapist,nl,Martinez Richard
,1971-06-22,mrdustinsantosjr@healthcare.org,Male,Nurse Practitioner,de,Mr. Dustin Santos Jr.,1971-06-22,mrdustinsatnosjr@healthcare.org,Male,Nurse Practitioner,de,Jr. Santos Dustin Mr.
,1989-10-05,nicholaswood@healthcare.org,Other,Anesthesiology Nurse,nl,Nicholas Wood,1989-10-05,nichloaswood@healthcare.org,Other,Anesthesiology Nurse,nl,Wood Nicholas
,1991-06-21,dawnsmith@healthcare.org,Other,Orthopedic Nurse,et,Dawn Smith,1991-06-21,dawsnmith@healthcare.org,Other,Orthopedic Nurse,et,Smith Dawn
,1991-01-18,claudiawatkins@healthcare.org,Other,Nephrologist,de,Claudia Watkins,1991-01-18,claudiawaktins@healthcare.org,Other,Nephrologist,de,Watkins Claudia
,1978-04-06,sarahmyers@healthcare.org,Female,Podiatrist,nl,Sarah Myers,1978-04-06,sarahmyres@healthcare.org,Female,Podiatrist,nl,Myers Sarah
,1969-11-16,thomasmurphy@healthcare.org,Other,Plastic Surgeon,de,Thomas Murphy,1969-11-16,thomasmyurphy@healthcare.org,Other,Plastic Surgeon,de,Murphy Thomas
,1992-12-11,markpowell@healthcare.org,Female,Endocrine Nurse,nl,Mark Powell,1992-12-11,markpowwell@healthcare.org,Female,Endocrine Nurse,nl,Powell Mark
,1996-11-13,dustinpena@healthcare.org,Female,Pathologist,et,Dustin Pena,1996-11-13,dustinmpena@healthcare.org,Female,Pathologist,et,Dustin Pwna
,1992-10-14,taracopeland@healthcare.org,Female,Surgical Nurse,et,Tara Copeland,1992-10-14,taracopelannd@healthcare.org,Female,Surgical Nurse,et,Talra Copeland
,1966-05-05,johnmcgrath@healthcare.org,Female,Genetic Counselor,de,John Mcgrath,1966-05-05,johnmmcgrath@healthcare.org,Female,Genetic Counselor,de,John Mbcgrath
,1997-02-22,terryhoffman@healthcare.org,Female,Lab Technician,nl,Terry Hoffman,1997-02-22,trryhoffman@healthcare.org,Female,Lab Technician,nl,Trry Hoffman
,1975-05-11,rachelbrown@healthcare.org,Male,Hematology Nurse,et,Rachel Brown,1975-05-11,rachelbbrown@healthcare.org,Male,Hematology Nurse,et,Rcahel Brown
,1971-03-07,douglasrasmussen@healthcare.org,Other,Neonatal Nurse,de,Douglas Rasmussen,1971-03-07,douglasrasqmussen@healthcare.org,Other,Neonatal Nurse,de,Dovglas Rasmussen
,1963-09-09,annettemeadows@healthcare.org,Female,Obstetrician,nl,Annette Meadows,1963-09-09,annnettemeadows@healthcare.org,Female,Obstetrician,nl,Annette Meadoes
,1983-02-08,erinwilson@healthcare.org,Other,Optometrist,nl,Erin Wilson,1983-02-08,edrinwilson@healthcare.org,Other,Optometrist,nl,Erin Wiltson
,1984-10-25,benjaminwilliams@healthcare.org,Male,Pathologist,nl,Benjamin Williams,1984-10-25,benjaminiwlliams@healthcare.org,Male,Pathologist,nl,Benjamin Williams
,1959-11-11,laurachambers@healthcare.org,Male,EEG Technician,de,Laura Chambers,1959-11-11,laurachazmbers@healthcare.org,Male,EEG Technician,de,Laua Chambers
,1983-09-29,brianrogers@healthcare.org,Female,Trauma Surgeon,et,Brian Rogers,1983-09-29,briannrogers@healthcare.org,Female,Trauma Surgeon,et,Brian Rokers
,1989-11-05,colleenhubbard@healthcare.org,Other,Arthritis Specialist,nl,Colleen Hubbard,1989-11-05,colleenhubbard@healthcare.org,Other,Arthritis Specialist,nl,Cloleen Hubbard
,1981-07-17,jordanlopez@healthcare.org,Male,Poison Control Specialist,et,Jordan Lopez,1981-07-17,jordanlpez@healthcare.org,Male,Poison Control Specialist,et,Joradn Lopez
,1977-10-04,hollymunoz@healthcare.org,Male,Urology Nurse,et,Holly Munoz,1977-10-04,hzollymunoz@healthcare.org,Male,Urology Nurse,et,Holly Mnoz
,1983-09-09,ashleycarter@healthcare.org,Female,Neurologist,nl,Ashley Carter,1983-09-09,ashleycarrter@healthcare.org,Female,Neurologist,nl,Ashley Carter
,1995-03-31,stevenrivera@healthcare.org,Other,Endocrinologist,nl,Steven Rivera,1995-03-31,stevenrivea@healthcare.org,Other,Endocrinologist,nl,Steven Rqivera
,1978-12-18,joemiller@healthcare.org,Other,Medical Assistant,nl,Joe Miller,1978-12-18,joemilller@healthcare.org,Other,Medical Assistant,nl,Joe Muller
,1963-01-24,christophercooper@healthcare.org,Female,Reconstructive Specialist,et,Christopher Cooper,1963-01-24,christophercooper@healthcare.org,Female,Reconstructive Specialist,et,Christopher Coopre
,1990-01-23,stephenmurphy@healthcare.org,Female,Urodynamics Technician,et,Stephen Murphy,1990-01-23,stephenmufrphy@healthcare.org,Female,Urodynamics Technician,et,Stemhen Murphy
,1985-11-16,courtneyjohnson@healthcare.org,Other,Doula,et,Courtney Johnson,1985-11-16,courtneyjohnsno@healthcare.org,Other,Doula,et,Courtney Johonson
